@relation 'nyc_listings - cleaned-weka.filters.unsupervised.attribute.Remove-R1-4'

@attribute room_type {'Hotel room','Private room','Entire home/apt','Shared room'}
@attribute number_of_reviews numeric
@attribute days_since_last_review numeric
@attribute reviews_per_month numeric
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Private room',21,44770,1.2,5,25,20,1.933515,2.402516,11.970837,63
'Private room',0,44880,0,158,48,0,0.350637,2.823502,4.944067,43
'Private room',0,44880,0,1,0,0,0.185935,9.801132,6.586991,70
'Private room',36,44808,1.53,1,330,26,0.270859,4.638423,6.934847,62
'Private room',0,44880,0,175,3,0,0.211463,1.819921,5.876794,36
'Entire home/apt',3,44467,0.14,16,0,1,0.270421,5.030599,1.274781,68
'Entire home/apt',1,44317,0.06,1,0,0,0.148144,7.875443,2.046548,260
'Entire home/apt',1,44783,1,1,154,1,0.108698,5.179989,5.22322,140
'Entire home/apt',0,44880,0,1,0,0,0.156094,3.763184,2.765521,300
'Entire home/apt',31,44788,1.36,1,0,22,0.231632,8.617661,5.621712,275
'Entire home/apt',10,44794,0.64,1,146,8,0.079547,8.71947,4.408067,200
'Private room',0,44880,0,3,0,0,0.1297,9.792269,8.679084,50
'Entire home/apt',2,44159,0.09,1,0,0,0.067143,7.698804,2.726741,139
'Private room',6,44743,0.38,3,275,3,0.091576,10.781555,7.897846,65
'Entire home/apt',36,44803,1.53,3,326,17,0.395028,6.28942,8.506466,261
'Private room',0,44880,0,157,0,0,0.35795,2.838259,4.918538,37
'Entire home/apt',2,44338,0.09,2,0,0,0.314548,8.068951,6.257074,290
'Entire home/apt',6,44423,0.26,53,0,0,0.123306,7.81769,2.706176,150
'Entire home/apt',1,44359,0.07,453,262,0,0.244398,4.532237,2.049628,517
'Entire home/apt',1,44463,0.09,52,66,1,0.112834,6.55323,0.67845,299
'Entire home/apt',4,44685,0.23,109,262,3,0.262479,6.423026,0.540099,125
'Entire home/apt',7,44562,0.3,1,174,1,0.636965,7.423941,11.37372,325
'Private room',0,44880,0,1,0,0,0.183237,5.636376,3.753995,45
'Entire home/apt',2,44598,0.1,109,264,1,0.299698,6.442664,0.575927,118
'Entire home/apt',0,44880,0,1,0,0,0.087978,6.044639,4.372471,90
'Private room',1,44081,0.04,175,4,0,0.351208,2.788016,5.026295,35
'Entire home/apt',6,44600,0.27,1,4,3,0.355386,6.84896,0.57169,130
'Private room',10,44592,0.6,1,0,9,0.150601,7.147417,6.487156,81
'Entire home/apt',73,44796,3.11,1,116,37,0.177022,4.238131,5.381272,149
'Entire home/apt',2,44738,0.14,2,168,1,0.239135,4.524549,4.345716,145
'Entire home/apt',75,44792,4.2,2,119,49,0.107254,6.398707,7.693531,142
'Entire home/apt',20,44551,0.83,1,0,4,0.19961,6.014664,3.768033,600
'Entire home/apt',0,44880,0,1,358,0,0.312599,5.716255,4.292756,1000
'Entire home/apt',47,44797,2,5,221,28,0.136107,8.493263,4.911135,325
'Entire home/apt',66,44797,3.06,1,300,30,0.240225,6.624934,7.44984,185
'Entire home/apt',0,44880,0,1,363,0,0.314291,4.41048,1.935412,200
'Private room',10,44735,0.65,4,90,5,0.149968,6.498689,3.690485,120
'Entire home/apt',58,44809,2.5,1,99,35,0.633218,3.202888,5.648742,112
'Private room',0,44880,0,1,0,0,0.347175,5.701398,8.578315,60
'Entire home/apt',141,44798,5.79,1,346,47,0.198533,4.055647,8.560409,155
'Entire home/apt',0,44880,0,453,270,0,0.244398,4.532237,2.049628,360
'Private room',147,44808,6.43,2,164,68,0.231175,6.855898,8.284974,104
'Entire home/apt',46,44795,1.89,2,164,26,0.142775,10.712668,10.286762,161
'Private room',3,44116,0.12,1,0,0,0.200582,6.387322,3.67368,95
'Private room',2,44133,0.08,288,341,0,0.423839,6.298965,6.090381,34
'Private room',26,44799,1.5,3,66,17,0.214874,6.309216,5.074164,66
'Entire home/apt',20,44810,0.89,1,323,10,3.820934,2.552756,15.146367,254
'Entire home/apt',190,44793,7.84,1,332,65,0.079005,8.811142,8.772657,148
'Entire home/apt',11,44799,0.63,2,2,7,0.262149,4.919751,7.279254,93
'Entire home/apt',0,44880,0,1,162,0,0.228127,9.489148,6.110007,400
'Private room',22,44774,1.08,1,365,15,0.210819,5.917623,2.114426,70
'Private room',0,44880,0,1,0,0,0.176752,8.525423,6.108189,50
'Entire home/apt',0,44880,0,1,94,0,0.150335,6.210654,3.08925,107
'Entire home/apt',2,44439,0.09,1,249,0,0.075326,4.594617,3.664188,200
'Private room',3,44400,0.15,2,339,0,0.127502,7.744327,2.860836,90
'Entire home/apt',16,44799,0.67,1,2,5,0.172535,6.247468,3.492714,140
'Entire home/apt',0,44880,0,131,346,0,0.096343,8.809982,3.820831,390
'Entire home/apt',0,44880,0,131,354,0,0.125226,8.726022,3.885881,304
'Private room',3,44114,0.13,1,0,0,0.130549,6.881879,1.958819,200
'Entire home/apt',14,44802,0.6,1,0,4,0.110972,7.510109,2.327407,265
'Entire home/apt',97,44789,4.53,3,146,58,0.302578,6.186923,4.014659,141
'Private room',105,44809,4.42,1,258,56,0.169715,6.53566,5.682482,90
'Private room',0,44880,0,1,0,0,0.089573,7.315137,2.343073,300
'Entire home/apt',24,44776,1.34,1,361,12,0.767054,9.26566,11.086295,329
'Private room',3,44773,0.14,8,34,1,0.457851,7.394292,5.3546,65
'Private room',0,44880,0,175,0,0,0.326921,2.767809,5.018138,41
'Entire home/apt',6,44661,0.3,109,258,4,0.348716,6.350679,0.651269,125
'Entire home/apt',12,44805,0.55,3,7,8,0.280077,4.430152,3.086836,121
'Entire home/apt',2,44765,0.17,7,180,2,0.302266,5.619123,0.8877,240
'Entire home/apt',3,44431,0.14,7,115,0,0.196596,5.677028,0.756606,249
'Entire home/apt',6,44742,0.26,109,273,2,0.321313,6.460193,0.594423,125
'Entire home/apt',3,44414,0.19,3,178,0,0.092854,8.539066,5.003685,180
'Entire home/apt',0,44880,0,453,0,0,0.244398,4.532237,2.049628,320
'Entire home/apt',0,44880,0,1,0,0,0.065385,7.469189,2.430514,295
'Entire home/apt',0,44880,0,1,0,0,0.073689,8.69614,3.464431,200
'Entire home/apt',63,44802,2.69,2,261,19,0.456043,5.650975,8.59731,101
'Entire home/apt',1,44360,0.07,453,14,0,0.086042,8.77834,3.832522,484
'Private room',0,44880,0,1,0,0,0.420538,5.394014,8.523143,49
'Entire home/apt',0,44880,0,453,340,0,0.086042,8.77834,3.832522,476
'Entire home/apt',2,44607,0.1,1,282,1,0.183063,9.154219,5.150867,199
'Entire home/apt',25,44374,1.06,1,0,0,0.348359,6.210747,6.181888,130
'Private room',34,44808,3.12,2,352,34,0.185909,6.860184,8.247269,104
'Entire home/apt',0,44880,0,2,305,0,5.145652,5.300261,11.964452,99
'Entire home/apt',0,44880,0,1,0,0,0.092083,5.697958,2.085562,477
'Entire home/apt',2,44675,0.24,2,0,2,0.128125,9.380266,6.877599,150
'Entire home/apt',16,44779,0.88,1,365,8,0.69245,3.79673,10.918558,134
'Entire home/apt',15,44808,1.35,2,160,15,2.595547,4.955554,14.042777,80
'Private room',0,44880,0,1,0,0,0.233887,5.650955,0.806746,300
'Entire home/apt',1,44478,0.09,453,338,1,0.244398,4.532237,2.049628,335
'Private room',0,44880,0,1,0,0,0.071551,9.788585,6.117956,200
'Entire home/apt',18,44704,0.82,1,312,10,0.059518,2.958613,5.745513,95
'Entire home/apt',2,44355,0.11,1,0,0,0.230357,5.056988,6.470257,35
'Entire home/apt',79,44739,3.35,1,60,42,0.303239,9.011863,4.769184,170
'Entire home/apt',0,44880,0,131,327,0,0.343665,4.271719,2.164764,257
'Entire home/apt',4,44236,0.17,1,0,0,0.090988,9.036626,5.048609,240
'Private room',42,44793,1.76,1,77,22,0.276918,6.541694,0.451242,155
'Entire home/apt',10,44656,0.44,1,182,4,0.324605,7.625381,5.351204,120
'Entire home/apt',2,44772,0.15,1,94,1,0.162543,8.425074,2.888081,650
'Private room',2,44378,0.13,26,249,0,0.063176,6.43915,4.653132,38
'Private room',0,44880,0,3,0,0,0.100457,4.132648,3.305661,80
'Private room',0,44880,0,1,0,0,0.343884,5.52101,2.162556,80
'Entire home/apt',14,44761,0.6,2,25,5,0.1435,7.759346,2.883838,236
'Entire home/apt',1,44294,0.06,1,0,0,0.241629,5.970611,3.073804,300
'Entire home/apt',8,44295,0.38,1,0,0,0.956428,8.565597,9.698174,80
'Private room',1,44773,0.77,9,0,1,0.335529,6.687019,7.828336,42
'Private room',8,44745,0.93,2,365,8,0.435056,9.828204,11.683462,85
'Entire home/apt',6,44682,0.28,4,303,5,0.262707,6.566828,1.37945,189
'Entire home/apt',8,44774,0.39,98,312,6,0.279697,4.095691,2.397863,185
'Entire home/apt',2,44197,0.09,1,0,0,0.328896,5.86207,3.306622,220
'Private room',0,44880,0,2,0,0,0.147973,2.490895,5.205955,30
'Entire home/apt',0,44880,0,1,0,0,0.579189,7.867156,4.38433,80
'Entire home/apt',15,44809,0.72,1,239,10,0.199487,7.937385,5.105423,513
'Private room',2,44330,0.11,2,28,0,0.324587,8.249217,6.06548,65
'Entire home/apt',24,44795,1.34,2,0,11,0.236568,8.11251,5.90868,249
'Entire home/apt',5,44755,0.29,4,236,4,0.154944,6.387668,5.274666,215
'Entire home/apt',1,44426,0.08,131,333,0,0.091924,6.789768,0.895307,414
'Entire home/apt',2,44785,0.29,4,70,2,0.240343,6.390944,3.567724,200
'Entire home/apt',62,44801,3.19,6,56,38,0.482585,6.867992,0.663069,1128
'Shared room',9,44769,0.61,6,332,8,0.48346,2.692305,6.754858,40
'Entire home/apt',108,44809,4.6,1,78,66,0.295586,9.807602,6.297634,165
'Private room',0,44880,0,1,0,0,0.069325,8.431896,4.773785,65
'Entire home/apt',0,44880,0,131,355,0,0.323962,4.287464,2.158237,252
'Entire home/apt',0,44880,0,131,346,0,0.369133,4.202484,2.223254,310
'Entire home/apt',0,44880,0,131,346,0,0.281676,8.058667,2.214647,424
'Entire home/apt',1,44794,1,131,359,1,0.213603,4.25306,2.243279,173
'Entire home/apt',1,44662,0.2,131,334,1,0.355497,4.17904,2.253799,304
'Entire home/apt',1,44709,0.29,131,347,1,0.127187,6.906168,0.633218,401
'Entire home/apt',0,44880,0,131,316,0,0.270609,6.597538,1.418033,338
'Entire home/apt',2,44576,0.1,131,261,1,0.195173,6.564581,1.276685,308
'Entire home/apt',0,44880,0,131,312,0,0.232303,6.56127,1.332501,403
'Entire home/apt',89,44807,3.94,1,204,56,0.409074,4.252302,7.86554,102
'Entire home/apt',2,44805,0.54,9,136,2,0.197569,6.705037,0.414787,306
'Private room',2,44408,0.11,175,10,0,0.431271,3.992465,3.531919,38
'Entire home/apt',4,44796,0.17,2,0,3,0.132624,5.751524,2.941263,550
'Entire home/apt',29,44786,1.6,2,325,22,0.271064,6.062419,0.850472,229
'Entire home/apt',44,44712,2.66,2,356,30,0.271064,6.062419,0.850472,265
'Entire home/apt',2,44544,0.13,109,273,1,0.329975,6.33034,0.659353,125
'Entire home/apt',4,44773,0.19,116,338,1,0.164089,6.191888,0.876735,150
'Entire home/apt',6,44677,0.31,1,0,3,0.370776,6.672428,2.185938,215
'Entire home/apt',0,44880,0,1,0,0,0.27823,9.072657,6.557817,63
'Entire home/apt',0,44880,0,1,0,0,0.129689,8.692278,5.506286,110
'Private room',1,44682,0.23,175,9,1,0.224187,7.430278,5.181333,49
'Entire home/apt',0,44880,0,16,0,0,0.34348,5.002584,1.307992,150
'Private room',1,44777,0.86,26,273,1,0.139055,6.398764,4.702252,37
'Entire home/apt',37,44809,1.63,1,350,25,0.224652,4.478268,4.293255,890
'Entire home/apt',8,44773,0.52,109,299,6,0.156478,4.368228,2.357405,125
'Entire home/apt',0,44880,0,2,270,0,0.194396,6.033408,7.211732,95
'Entire home/apt',93,44806,3.99,1,14,49,0.490227,7.261381,5.463551,220
'Entire home/apt',3,44563,0.14,16,44,1,0.34348,5.002584,1.307992,130
'Entire home/apt',5,44592,0.25,109,271,1,0.366255,6.460389,0.646282,125
'Private room',7,44314,0.31,1,0,0,0.210748,7.262465,6.142419,70
'Private room',1,44134,0.04,1,0,0,0.080374,5.445112,4.692136,20
'Private room',42,44795,1.79,1,95,18,0.199387,6.162566,5.028557,100
'Entire home/apt',48,44782,2.15,1,35,32,0.063582,8.651421,6.195259,270
'Private room',0,44880,0,1,0,0,0.279819,5.245271,6.777823,80
'Entire home/apt',1,44347,0.06,131,348,0,0.203734,8.735734,3.956774,390
'Entire home/apt',1,44238,0.05,131,333,0,0.127954,5.824324,2.229252,163
'Private room',88,44809,3.79,2,139,58,0.17447,6.387192,3.858733,96
'Private room',62,44799,5.03,2,0,61,0.188778,6.427177,5.124802,72
'Entire home/apt',54,44773,2.33,1,128,18,0.079009,7.018107,4.838258,495
'Private room',1,44788,1,2,44,1,0.440918,8.432669,8.618845,42
'Private room',24,44722,1.07,8,248,9,0.247776,4.733256,3.947985,95
'Entire home/apt',16,44773,0.69,53,43,6,0.085369,7.844718,2.808576,170
'Private room',58,44805,4.69,2,0,56,0.189758,6.357488,5.147175,70
'Entire home/apt',35,44809,1.52,1,88,34,0.118817,9.212697,7.172245,114
'Entire home/apt',4,44793,0.19,1,79,1,0.202364,2.398236,4.285892,65
'Entire home/apt',93,44806,4.01,2,99,49,0.244225,4.301233,3.638862,275
'Private room',2,44236,0.09,1,0,0,1.843686,3.876726,10.097084,45
'Entire home/apt',0,44880,0,1,0,0,0.14582,2.689612,3.829658,75
'Entire home/apt',0,44880,0,1,0,0,0.317742,8.216504,6.163401,60
'Entire home/apt',10,44711,0.76,1,0,8,0.099367,8.370262,3.975277,160
'Entire home/apt',8,44675,0.38,71,309,4,0.0851,8.464375,3.893915,450
'Private room',6,44805,0.72,2,350,6,0.150629,3.860697,14.982321,47
'Entire home/apt',0,44880,0,1,0,0,0.097429,7.378185,1.428825,600
'Entire home/apt',7,44773,0.31,37,283,4,0.176816,4.802558,3.430229,150
'Private room',1,44154,0.05,53,37,0,0.180644,4.982709,5.451802,38
'Private room',2,44570,0.1,53,288,1,0.138136,5.027037,5.479975,50
'Private room',0,44880,0,53,280,0,0.254309,4.656407,4.84796,43
'Private room',0,44880,0,53,116,0,0.254508,4.625501,4.82131,40
'Private room',1,44414,0.08,53,341,0,0.162495,4.658364,4.948614,47
'Private room',2,44623,0.1,53,341,1,0.272685,4.669718,4.820434,47
'Entire home/apt',41,44796,1.81,2,50,24,0.18783,6.39143,4.818906,187
'Entire home/apt',3,44806,3,3,27,3,0.175396,7.526916,2.573395,216
'Private room',0,44880,0,158,0,0,0.279753,2.52331,6.104464,39
'Private room',0,44880,0,1,0,0,0.169616,8.326666,6.918973,50
'Entire home/apt',5,44303,0.22,1,0,0,0.480662,6.624702,0.719544,150
'Private room',1,44616,0.15,53,258,1,0.243807,4.6253,4.809373,43
'Private room',2,44411,0.1,53,339,0,0.150222,4.665427,4.968562,40
'Private room',0,44880,0,1,365,0,0.470773,2.976679,8.640488,200
'Entire home/apt',8,44751,0.37,4,291,7,0.204246,4.958151,1.565443,190
'Entire home/apt',22,44749,1.02,53,61,12,0.086858,7.842028,2.799616,200
'Private room',2,44380,0.12,2,32,0,0.203199,3.386678,15.552964,54
'Entire home/apt',5,44738,0.43,1,341,5,0.433459,4.9353,11.881394,170
'Entire home/apt',0,44880,0,79,320,0,0.355071,4.787788,1.519776,487
'Entire home/apt',7,44738,0.34,1,95,4,0.235434,5.552921,2.721891,175
'Entire home/apt',4,44678,0.25,109,280,2,0.242777,6.390902,0.529998,125
'Private room',4,44579,0.26,2,360,1,0.246775,3.293224,15.485037,41
'Entire home/apt',39,44612,1.94,1,0,9,0.283711,7.097817,0.854039,175
'Private room',11,44703,2.17,1,249,11,0.11671,6.74068,6.68669,75
'Entire home/apt',4,44704,0.2,109,219,1,0.247188,6.378394,0.539021,150
'Entire home/apt',7,44774,0.36,116,312,5,0.177757,6.042004,0.757338,175
'Entire home/apt',6,44803,0.31,116,314,3,0.187996,6.247602,0.992588,159
'Entire home/apt',10,44781,0.43,53,43,5,0.023425,7.783645,2.779995,175
'Private room',1,44552,0.12,1,273,1,0.136059,9.842008,6.187628,88
'Entire home/apt',11,44809,0.5,1,113,5,0.427934,5.885177,2.623355,168
'Entire home/apt',3,44691,0.14,58,98,1,0.335967,4.402374,2.054943,99
'Private room',40,44794,1.72,6,133,22,0.99383,3.615417,9.356651,49
'Entire home/apt',12,44789,0.54,53,39,7,0.115436,7.855142,2.78482,155
'Entire home/apt',0,44880,0,1,0,0,0.2051,7.689873,5.130608,380
'Entire home/apt',2,44773,0.09,5,68,1,3.206086,4.024317,14.521739,260
'Private room',18,44747,0.79,8,249,9,0.227257,4.716506,3.974947,73
'Entire home/apt',19,44690,0.86,1,0,12,0.758666,4.809913,9.292542,95
'Entire home/apt',2,44671,0.41,1,250,2,0.134188,4.03427,2.80321,180
'Entire home/apt',3,44416,0.14,1,0,0,0.150677,6.761829,0.773097,200
'Private room',0,44880,0,1,0,0,0.273458,2.831678,3.53682,200
'Entire home/apt',0,44880,0,2,0,0,0.233329,3.870585,3.473492,425
'Private room',21,44771,0.92,26,27,5,0.033448,6.673472,0.868067,357
'Entire home/apt',3,44164,0.13,1,0,0,0.264076,5.076519,1.231198,130
'Entire home/apt',2,44398,0.12,1,69,0,0.174738,4.381662,2.374779,155
'Entire home/apt',143,44800,6.09,1,166,64,1.561081,8.239623,10.249648,170
'Entire home/apt',1,44159,0.05,3,5,0,0.462768,6.636053,3.268119,160
'Private room',1,44210,0.05,8,184,0,0.512141,7.337907,5.404634,50
'Entire home/apt',0,44880,0,1,0,0,0.297332,8.026073,3.059469,60
'Private room',0,44880,0,2,0,0,0.393038,6.969688,0.724812,120
'Private room',0,44880,0,158,0,0,0.200398,2.887989,4.646133,39
'Private room',5,44205,0.22,3,0,0,0.328425,7.353604,5.769174,50
'Entire home/apt',4,44773,0.19,2,365,2,0.057792,7.810782,3.056196,110
'Private room',8,44199,0.36,3,0,0,0.38916,7.289776,5.664911,50
'Private room',2,44206,0.09,3,0,0,0.366372,7.316827,5.653871,50
'Entire home/apt',1,44347,0.06,131,332,0,0.137985,6.832056,1.000001,343
'Entire home/apt',0,44880,0,131,253,0,0.217145,6.179209,0.710435,297
'Entire home/apt',1,44530,0.11,131,259,1,0.230142,5.517559,2.075411,175
'Entire home/apt',2,44319,0.1,131,331,0,0.053506,6.017896,0.47712,361
'Entire home/apt',0,44880,0,131,241,0,0.085502,6.781717,0.889263,500
'Entire home/apt',0,44880,0,131,291,0,0.12103,6.043281,0.289864,530
'Entire home/apt',0,44880,0,131,360,0,0.085505,8.72685,3.844393,390
'Entire home/apt',0,44880,0,131,353,0,0.216137,6.262986,0.641493,403
'Entire home/apt',97,44807,4.31,1,135,57,5.696721,5.466056,12.661901,104
'Private room',0,44880,0,1,0,0,1.189325,4.225051,9.112954,130
'Private room',0,44880,0,158,0,0,0.19381,2.620064,6.139301,28
'Private room',77,44794,3.43,1,230,49,0.260118,4.511898,1.979354,120
'Entire home/apt',13,44802,0.6,1,63,9,0.293357,5.741263,2.618715,1180
'Entire home/apt',1,44722,0.33,1,55,1,0.303054,4.323956,2.134312,195
'Entire home/apt',35,44640,1.53,1,250,13,0.139856,6.302894,3.186569,450
'Entire home/apt',0,44880,0,1,178,0,8.118302,10.696853,17.380104,500
'Private room',12,44806,2.79,1,217,12,0.094951,6.643182,5.466477,125
'Entire home/apt',4,44712,0.22,60,311,2,0.187854,5.634728,2.351931,235
'Entire home/apt',1,44168,0.05,2,0,0,0.175391,6.661547,0.377109,500
'Private room',2,44289,0.1,8,96,0,0.49958,7.388564,5.413719,50
'Entire home/apt',43,44796,3.52,1,339,43,0.207805,9.417135,8.428901,180
'Private room',1,44216,0.05,1,0,0,0.060244,7.746518,2.552797,110
'Entire home/apt',3,44416,0.14,2,128,0,1.144578,11.929973,12.266947,125
'Entire home/apt',10,44807,0.45,1,79,7,0.704283,8.695567,7.524525,70
'Entire home/apt',1,44200,0.05,30,261,0,0.163928,5.859223,0.686197,182
'Entire home/apt',2,44399,0.13,1,0,0,0.225583,4.397068,4.274433,130
'Entire home/apt',2,44422,0.13,4,179,0,0.174447,6.180117,0.80799,900
'Private room',12,44759,0.7,1,26,5,0.2997,6.400568,3.081631,250
'Private room',5,44588,0.42,1,0,5,0.179323,5.745146,0.817875,210
'Private room',2,44567,0.19,111,299,2,0.144923,2.651165,4.72759,84
'Entire home/apt',61,44738,2.68,5,85,36,0.121138,6.845945,0.713365,197
'Entire home/apt',7,44787,0.3,1,128,1,0.095307,6.974199,1.833437,300
'Private room',7,44798,0.46,111,294,4,0.26652,2.613715,5.164616,64
'Entire home/apt',37,44806,5.75,1,319,37,3.610215,2.581352,14.323267,90
'Private room',76,44769,3.27,3,310,45,0.254658,4.83671,4.31673,99
'Private room',18,44791,0.86,26,27,9,0.029725,6.679098,0.860129,351
'Private room',4,44242,0.17,26,27,0,0.031013,6.679995,0.883311,357
'Entire home/apt',8,44801,0.64,2,343,7,0.181598,9.832314,9.951387,241
'Entire home/apt',77,44796,3.35,1,114,59,0.402013,6.620588,0.607628,340
'Entire home/apt',1,44269,0.06,1,0,0,0.256076,7.216727,2.631261,195
'Entire home/apt',21,44779,1,1,30,10,0.127366,6.093118,0.477799,224
'Entire home/apt',1,44785,1,1,169,1,0.28241,5.159791,3.923441,200
'Entire home/apt',1,44255,0.05,1,0,0,0.250245,5.250468,1.837555,66
'Private room',0,44880,0,1,0,0,0.017295,5.252389,5.53374,49
'Entire home/apt',19,44704,0.91,71,302,5,0.097346,8.454674,3.918226,628
'Entire home/apt',103,44795,4.48,71,315,47,0.103987,8.387922,4.048857,779
'Private room',5,44773,0.6,1,15,5,0.124793,5.405721,5.91241,75
'Entire home/apt',3,44388,0.15,131,305,0,0.212268,5.811618,1.586313,156
'Entire home/apt',1,44395,0.07,131,190,0,0.053887,4.738273,1.658015,287
'Entire home/apt',0,44880,0,131,333,0,0.156949,4.655042,1.771948,184
'Entire home/apt',0,44880,0,131,247,0,0.172076,4.639897,1.789778,234
'Entire home/apt',0,44880,0,131,261,0,0.091387,4.757222,1.653294,181
'Entire home/apt',2,44666,0.33,131,311,2,0.031453,4.729093,1.658999,271
'Entire home/apt',15,44765,0.87,2,349,10,0.165186,7.548563,1.98953,438
'Entire home/apt',1,44617,0.15,109,314,1,0.207372,4.462602,2.396417,120
'Entire home/apt',3,44796,0.2,131,332,2,0.371676,4.185307,2.240186,310
'Entire home/apt',0,44880,0,131,304,0,0.27091,6.575769,1.398479,295
'Entire home/apt',62,44797,2.78,1,244,28,0.287006,8.992039,8.610548,161
'Entire home/apt',0,44880,0,131,339,0,0.110204,6.904243,0.638982,401
'Entire home/apt',0,44880,0,131,353,0,0.121858,6.927694,0.705522,403
'Entire home/apt',0,44880,0,131,296,0,0.352689,4.240269,2.191679,186
'Entire home/apt',0,44880,0,131,284,0,0.219465,4.981423,1.330637,228
'Entire home/apt',1,44190,0.05,131,331,0,0.286433,5.011818,1.293535,232
'Entire home/apt',0,44880,0,131,337,0,0.293207,4.904897,1.4057,297
'Entire home/apt',0,44880,0,1,0,0,0.071744,5.414067,2.482645,100
'Private room',0,44880,0,4,299,0,0.168741,5.082361,2.771939,89
'Entire home/apt',0,44880,0,1,0,0,0.208671,8.826973,4.435509,150
'Entire home/apt',0,44880,0,1,0,0,0.227334,7.020197,6.580062,67
'Entire home/apt',14,44743,0.63,53,58,12,0.013026,7.709663,2.650815,200
'Entire home/apt',21,44747,0.91,53,59,6,0.13098,7.851262,2.762644,160
'Entire home/apt',58,44805,3.95,1,62,48,0.151595,3.311601,3.190684,100
'Entire home/apt',22,44731,0.94,1,0,5,0.158096,8.674387,5.473385,368
'Entire home/apt',9,44804,0.47,37,259,6,0.115598,4.608954,1.774235,125
'Entire home/apt',3,44452,0.21,109,254,1,0.334244,6.334436,0.65741,125
'Entire home/apt',21,44789,0.91,53,31,8,0.046358,7.725254,2.690455,200
'Private room',4,44743,0.35,175,0,4,0.28332,1.749817,5.860512,53
'Entire home/apt',3,44515,0.16,109,91,1,0.004,7.700508,2.647746,150
'Private room',2,44178,0.09,157,0,0,0.208193,1.826967,5.871851,39
'Entire home/apt',0,44880,0,1,0,0,0.539878,5.949258,1.225517,1575
'Entire home/apt',62,44809,2.66,1,119,36,0.088438,10.06202,8.078737,175
'Private room',30,44772,1.31,4,163,22,2.225033,3.317183,13.197002,57
'Private room',4,44785,0.23,3,2,3,0.177451,6.33038,4.091192,129
'Private room',23,44744,0.99,2,250,8,0.228137,9.118766,8.431884,60
'Private room',0,44880,0,1,0,0,0.199211,6.982582,4.923702,38
'Entire home/apt',0,44880,0,1,0,0,0.290517,1.904066,4.461662,100
'Entire home/apt',10,44707,0.65,1,337,8,0.624989,5.542196,14.45529,157
'Entire home/apt',63,44809,3,1,124,28,0.157372,7.544744,9.764501,137
'Private room',1,44786,1,175,0,1,0.112288,2.580532,4.830602,31
'Entire home/apt',19,44806,0.84,4,80,12,0.223004,5.168393,9.381755,119
'Private room',26,44801,2.68,2,3,26,0.102705,6.784363,6.186962,85
'Entire home/apt',13,44753,0.56,53,53,4,0.00729,7.696518,2.63842,170
'Entire home/apt',15,44792,0.69,2,29,5,0.409106,6.893467,5.293885,400
'Private room',3,44651,0.13,157,0,1,0.151832,2.584324,4.782766,37
'Private room',29,44806,1.3,5,337,25,0.159265,6.059791,7.887645,54
'Entire home/apt',1,44439,0.08,1,317,0,0.440051,2.266526,4.231539,375
'Entire home/apt',15,44747,0.64,53,37,3,0.012656,7.762303,2.767272,200
'Entire home/apt',42,44770,1.84,71,166,18,0.053392,8.445794,4.027856,715
'Entire home/apt',14,44792,0.87,53,59,11,0.045609,7.72443,2.689682,200
'Entire home/apt',6,44695,0.35,109,310,3,0.201569,6.45096,0.43318,125
'Private room',15,44743,0.88,1,1,14,0.29567,6.116167,3.975081,124
'Entire home/apt',21,44793,0.91,2,248,9,2.467276,6.97251,10.480571,165
'Entire home/apt',15,44710,0.79,1,67,4,0.238533,5.661233,0.799916,450
'Entire home/apt',0,44880,0,71,289,0,0.130608,8.35974,4.031804,765
'Entire home/apt',39,44798,1.88,3,132,22,0.104642,7.579929,2.810739,399
'Entire home/apt',0,44880,0,1,293,0,0.057053,8.141508,2.805507,1200
'Entire home/apt',43,44801,5.08,2,147,43,0.148748,8.385556,6.274933,161
'Entire home/apt',1,44388,0.07,2,95,0,0.259902,7.372177,1.754043,675
'Entire home/apt',5,44786,1.22,1,98,5,0.125779,7.493918,2.523827,198
'Entire home/apt',91,44800,4.13,1,206,57,0.150052,6.507114,3.64548,275
'Entire home/apt',0,44880,0,1,0,0,0.313189,7.056415,2.086598,44
'Entire home/apt',38,44562,1.65,1,0,12,0.105473,5.469963,0.906112,180
'Private room',29,44798,1.26,1,331,18,0.118653,6.790093,6.324226,158
'Private room',1,44409,0.07,1,0,0,0.1002,6.729193,7.455399,80
'Entire home/apt',0,44880,0,1,173,0,0.944805,8.608006,10.464428,2000
'Entire home/apt',3,44766,0.14,3,136,2,0.318232,6.283541,0.833942,180
'Private room',0,44880,0,158,0,0,0.319228,2.757442,5.022663,32
'Entire home/apt',26,44745,1.15,1,0,11,0.129099,6.395975,0.969765,200
'Private room',23,44270,0.99,1,0,0,0.694316,1.478507,4.830647,50
'Entire home/apt',6,44774,0.31,1,129,3,0.019184,7.462723,1.455858,155
'Private room',2,44636,0.14,158,0,1,0.320857,2.76322,3.630252,59
'Private room',0,44880,0,158,0,0,0.221533,6.717489,8.18549,39
'Private room',0,44880,0,1,0,0,0.271676,8.823606,9.415029,85
