@relation 'nyc_listings - cleaned-weka.filters.unsupervised.attribute.Remove-R1-4'

@attribute room_type {'Hotel room','Private room','Entire home/apt','Shared room'}
@attribute number_of_reviews numeric
@attribute days_since_last_review numeric
@attribute reviews_per_month numeric
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Entire home/apt',215,85,1.51,2,243,9,0.399038,7.078692,2.422074,175
'Entire home/apt',152,101,1.08,2,95,10,0.120765,5.502486,2.621072,288
'Private room',0,-1,0,6,15,0,1.525048,2.561593,8.028758,89
'Private room',85,429,0.56,1,243,1,0.208028,5.091857,3.139172,88
'Private room',34,1112,0.25,1,239,0,0.150116,5.434359,4.896166,65
'Entire home/apt',173,137,1.26,1,45,2,0.148752,4.670336,3.674981,70
'Private room',3,1121,0.06,1,0,0,0.18863,5.36996,5.249696,99
'Private room',36,1031,0.24,2,282,0,0.073579,7.485982,1.439829,85
'Entire home/apt',53,80,0.46,6,360,6,0.249252,7.44899,11.809086,99
'Entire home/apt',89,101,0.67,1,254,5,0.375447,7.090351,5.930401,120
'Entire home/apt',268,1073,1.88,2,0,0,0.213288,7.577896,5.702168,135
'Entire home/apt',153,1047,1.08,2,159,0,0.380977,7.098058,2.476495,390
'Entire home/apt',285,80,1.9,3,334,19,0.402781,9.190069,5.624485,248
'Entire home/apt',55,114,0.45,2,23,3,0.156159,7.844678,2.181439,600
'Entire home/apt',57,460,0.43,1,29,0,0.255286,6.196908,2.981143,175
'Private room',14,1408,0.1,3,310,0,0.077341,6.604328,3.892603,55
'Entire home/apt',28,106,0.2,2,74,2,0.15723,9.193113,5.696965,165
'Entire home/apt',0,-1,0,1,0,0,0.212365,6.954278,2.027773,200
'Private room',308,1047,2.16,1,1,0,0.309479,7.985972,6.123554,100
'Entire home/apt',93,98,0.62,1,81,3,0.338467,9.386141,5.999476,220
'Entire home/apt',29,1634,0.26,1,0,0,0.188279,5.898327,3.500253,83
'Private room',190,1049,1.32,1,0,0,0.224892,4.47909,4.293542,100
'Private room',461,86,3.07,2,257,60,0.195956,6.731121,0.428363,85
'Entire home/apt',223,83,1.62,1,265,33,0.157421,4.555541,3.916137,102
'Entire home/apt',479,168,3.21,3,129,3,0.165702,9.763432,6.169323,90
'Private room',45,997,0.32,1,306,0,0.288027,8.182805,5.933672,75
'Private room',251,74,1.81,2,289,7,0.321113,8.19486,5.981914,60
'Private room',243,84,1.71,2,36,23,0.364665,7.049381,2.28153,79
'Private room',62,84,0.57,2,325,12,0.460495,7.014511,5.844194,99
