@relation 'nyc_listings - cleaned-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute neighbourhood_group {Brooklyn,Queens,Bronx,Manhattan,'Staten Island'}
@attribute neighbourhood {Greenpoint,Kensington,Ridgewood,'Mott Haven','Morningside Heights','East Village','Prospect Heights',Bedford-Stuyvesant,Midtown,'Sunset Park','Park Slope','Upper West Side','South Slope',Williamsburg,Gowanus,Bushwick,'Upper East Side','Crown Heights','Ditmars Steinway','Middle Village','East Harlem','Fort Greene',Harlem,Jamaica,'Hells Kitchen','Clinton Hill',Flatbush,Chelsea,'Long Island City','Brooklyn Heights','Lower East Side','Flatiron District','Rockaway Beach','Windsor Terrace',Chi0town,Tribeca,'Washington Heights','Greenwich Village','Fi0ncial District','Kips Bay','Clason Point',Eastchester,'Carroll Gardens','West Village',Nolita,'Forest Hills','Murray Hill','East Flatbush','Boerum Hill',Astoria,Sunnyside,'St. George',Gravesend,Kingsbridge,Gramercy,Allerton,'University Heights','Richmond Hill','East New York','Little Italy','Prospect-Lefferts Gardens',Arrochar,SoHo,'Stuyvesant Town',Elmhurst,'Theater District','Sheepshead Bay','Rego Park','Emerson Hill',Bayside,Bensonhurst,Woodside,'Shore Acres','Spuyten Duyvil',Briarwood,'Battery Park City',Maspeth,'Brighton Beach','Two Bridges','Fort Hamilton','Cobble Hill','Jackson Heights','New Springville',Longwood,Inwood,NoHo,Flushing,DUMBO,'Columbia St',Tottenville,'Cypress Hills','Mariners Harbor','East Elmhurst','Kew Gardens','Downtown Brooklyn',Concord,Melrose,'College Point','City Island','Bay Ridge','Red Hook','Vinegar Hill',Glendale,Concourse,'Port Morris',Flatlands,Arverne,Ca0rsie,'Queens Village',Williamsbridge,Soundview,Woodhaven,Parkchester,Bronxdale,'Ozone Park','Bay Terrace',Fordham,Norwood,Clifton,'Claremont Village','Concourse Village','Borough Park',Fieldston,Huguenot,'Mount Hope','Howard Beach',Wakefield,Midwood,'0vy Yard',Brownsville,'Civic Center','Lighthouse Hill','Roosevelt Island','South Ozone Park',Unionport,'Randall Manor','Jamaica Estates','Kew Gardens Hills',Bellerose,'Fresh Meadows','Morris Park','East Morrisania','Springfield Gardens',Tremont,'Far Rockaway','St. Albans',Coro0,'West Brighton','Manhattan Beach','Marble Hill','Dongan Hills',Belmont,'Castleton Corners',Laurelton,'Hunts Point','Great Kills','Pelham Bay','Silver Lake',Riverdale,Morrisania,'Grymes Hill',Holliswood,Tompkinsville,'Morris Heights',Edgemere,'New Brighton','Pelham Gardens',Baychester,'Mill Basin','Sea Gate','Bergen Beach',Stapleton,'Cambria Heights',Richmondtown,'Dyker Heights',Olinville,'Throgs Neck','Coney Island',Rosedale,'Howland Hook',Highbridge,'South Beach','Bath Beach','Midland Beach',Oakwood,Eltingville,Hollis,Schuylerville,Edenwald,'North Riverdale','Mount Eden',Neponsit,'Fort Wadsworth','Westchester Square','Van Nest',Rosebank,Woodlawn,'Grant City','New Dorp','Port Richmond','Country Club',Bayswater,Willowbrook,Douglaston,'New Dorp Beach','Todt Hill','West Farms','Little Neck',Whitestone,'Arden Heights','Co-op City','Jamaica Hills','Princes Bay','Bulls Head','Castle Hill','Belle Harbor',Westerleigh,'Chelsea, Staten Island','Gerritsen Beach','Breezy Point',Graniteville,Woodrow,'Hollis Hills','Port Ivory','Rockaway Park','Freshkills Park','Floral Park','Ellis Island',Bloomfield,'Ferry Point Park','Park Hill','Pelham Islands','Broad Channel','Pelham Bay Park','Van Cortlandt Park','LaGuardia Airport','Marine Park','Flushing Meadows Coro0 Park','Forest Park','Bronx Park','Croto0 Park','Green-Wood Cemetery','Prospect Park','Central Park'}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Hotel room','Private room','Entire home/apt','Shared room'}
@attribute number_of_reviews numeric
@attribute days_since_last_review numeric
@attribute reviews_per_month numeric
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
Brooklyn,Greenpoint,40.73535,-73.95584,'Entire home/apt',179,821,1.15,1,98,0,0.292128,5.384772,2.250572,99
Brooklyn,Bedford-Stuyvesant,40.68777,-73.94976,'Private room',60,167,0.4,2,332,2,0.242094,7.471715,5.224025,70
Queens,'Ditmars Steinway',40.772472,-73.906075,'Entire home/apt',104,79,0.72,1,302,40,0.370339,1.85677,4.450088,149
Brooklyn,Williamsburg,40.71551,-73.96274,'Entire home/apt',145,138,1.33,1,364,6,0.351005,6.507099,3.184306,395
Brooklyn,'Brooklyn Heights',40.69003,-73.99338,'Entire home/apt',269,99,1.88,1,4,26,0.240656,8.925632,4.709624,208
Manhattan,'Hells Kitchen',40.76505,-73.98716,'Entire home/apt',122,132,0.89,1,0,7,0.190155,6.311061,0.494822,250
Manhattan,'Hells Kitchen',40.75611,-73.99523,'Private room',382,79,2.47,2,283,48,0.282251,6.852055,0.54703,92
Manhattan,'Lower East Side',40.721359,-73.993668,'Entire home/apt',32,163,0.29,1,257,6,0.07711,7.651386,2.567262,206
Brooklyn,Greenpoint,40.73778,-73.95366,'Private room',9,1641,0.07,30,91,0,0.334402,5.194973,2.229077,728
Brooklyn,'Fort Greene',40.693047,-73.971985,'Entire home/apt',281,190,2.03,1,249,1,0.443923,7.947523,4.5421,375
Brooklyn,Williamsburg,40.71211,-73.96397,'Private room',49,1012,0.33,1,190,0,0.422431,6.712684,3.377579,82
Manhattan,Chelsea,40.74493,-73.99521,'Entire home/apt',5,1473,0.06,1,114,0,0.063462,7.055223,1.046123,400
Manhattan,'Flatiron District',40.74166,-73.9866,'Entire home/apt',170,76,1.24,1,191,28,0.123924,6.690175,1.129059,330
Manhattan,'East Harlem',40.80747,-73.94076,'Entire home/apt',340,84,2.36,2,218,55,0.259273,4.267753,4.197475,160
Manhattan,Harlem,40.8238,-73.94444,'Private room',615,86,4.44,2,235,51,0.069394,5.072105,5.063539,60
Queens,'Rockaway Beach',40.58603,-73.8145,'Private room',17,424,0.12,1,90,1,0.149603,4.156336,15.098755,114
Brooklyn,'Windsor Terrace',40.65912,-73.9842,'Private room',25,1003,0.21,1,0,0,0.251801,10.174084,6.823089,139
Manhattan,'Lower East Side',40.71946,-73.98641,'Entire home/apt',58,157,0.41,1,342,1,0.096526,7.381622,2.659724,250
Queens,Ridgewood,40.70271,-73.8993,'Entire home/apt',2,1110,0.02,6,361,0,0.237224,5.342533,6.058517,211
Brooklyn,'Prospect Heights',40.67839,-73.96642,'Entire home/apt',154,374,1.06,1,134,2,0.32705,8.527902,5.591003,175
Manhattan,Harlem,40.82772,-73.95284,'Private room',442,76,3.21,2,272,19,0.157612,5.59887,5.130553,81
Brooklyn,'Clinton Hill',40.69121,-73.96804,'Private room',29,625,0.19,2,271,0,0.225478,7.896824,4.706079,55
Manhattan,'East Village',40.72489,-73.9781,'Private room',473,93,4.29,2,134,47,0.463154,6.797804,2.320043,166
Manhattan,Chi0town,40.7178,-73.9932,'Entire home/apt',53,75,0.38,2,42,23,0.044159,7.756235,2.80548,300
Brooklyn,Bedford-Stuyvesant,40.68647,-73.95862,'Entire home/apt',123,134,0.89,1,38,14,0.182906,7.826354,5.149159,150
Manhattan,Tribeca,40.72012,-74.00397,'Entire home/apt',109,100,0.82,1,326,3,0.084172,8.183082,2.801522,500
Brooklyn,'Clinton Hill',40.68615,-73.96769,'Entire home/apt',12,2506,0.09,1,262,0,0.142741,8.150214,5.052119,225
Brooklyn,Williamsburg,40.7092,-73.96641,'Entire home/apt',237,86,1.64,1,341,33,0.471739,6.946297,3.524834,564
Brooklyn,Greenpoint,40.72741,-73.95466,'Entire home/apt',320,86,2.34,2,95,30,0.266442,5.646095,2.700092,209
Manhattan,'Upper West Side',40.78073,-73.98564,'Entire home/apt',63,184,0.5,1,330,2,0.254632,6.176955,1.568389,166
Manhattan,'East Village',40.72281,-73.98501,'Private room',162,88,1.32,2,30,35,0.272148,7.19415,2.428257,218
Manhattan,'East Harlem',40.8019,-73.93762,'Entire home/apt',254,102,1.65,1,42,26,0.154429,3.938171,4.001217,300
Manhattan,'East Village',40.72289,-73.98028,'Entire home/apt',53,972,0.35,1,103,0,0.501566,6.972147,2.439298,220
Manhattan,'Washington Heights',40.83253,-73.94108,'Private room',63,84,0.91,2,319,3,0.140836,5.343903,5.685795,75
Manhattan,'Upper East Side',40.76967,-73.94831,'Private room',148,1171,1.11,1,365,0,0.552082,4.166444,2.184405,200
Manhattan,'East Village',40.7253,-73.98028,'Entire home/apt',38,106,0.27,1,0,1,0.398974,6.8842,2.27423,195
Manhattan,'Greenwich Village',40.73072,-73.99275,'Entire home/apt',10,1182,0.07,1,0,0,0.022004,7.302289,1.923493,250
Manhattan,'Fi0ncial District',40.70104,-74.01168,'Private room',53,802,0.38,1,311,0,0.09423,8.593568,4.182111,140
Manhattan,'East Harlem',40.79204,-73.94741,'Entire home/apt',192,76,1.39,3,86,1,0.099429,4.211193,3.137178,110
Manhattan,Harlem,40.81006,-73.94559,'Private room',241,98,1.69,2,38,22,0.159199,4.58527,4.201415,111
Manhattan,Chelsea,40.74261,-74.00353,'Private room',221,72,1.58,1,279,28,0.155335,7.536805,1.448023,175
Manhattan,Harlem,40.8069,-73.95372,'Private room',1,2509,0.01,1,0,0,0.140052,4.880446,3.794131,90
Manhattan,'Kips Bay',40.73808,-73.98001,'Private room',1,2429,0.01,1,0,0,0.380236,6.456085,1.406786,95
Manhattan,Harlem,40.82817,-73.95133,'Entire home/apt',58,805,0.39,1,333,0,0.12363,5.554201,5.188749,110
Manhattan,Harlem,40.81562,-73.94674,'Private room',3,1122,0.06,1,0,0,0.163566,4.839013,4.503947,125
Manhattan,'East Village',40.72598,-73.97978,'Entire home/apt',165,104,1.15,2,328,2,0.359942,6.836526,2.231345,160
Brooklyn,'Fort Greene',40.69132,-73.97306,'Private room',177,1003,1.29,2,343,0,0.316229,8.074753,4.650786,95
Manhattan,'Upper West Side',40.79918,-73.96248,'Entire home/apt',4,1908,0.03,1,0,0,0.223598,5.136633,3.106999,211
Brooklyn,Williamsburg,40.71802,-73.95724,'Entire home/apt',61,1559,0.4,1,280,0,0.066281,6.167016,3.160826,105
Brooklyn,'Fort Greene',40.6905,-73.97867,'Private room',0,-1,0,1,0,0,0.16962,8.326437,4.672406,90
Brooklyn,Williamsburg,40.70967,-73.95922,'Entire home/apt',168,1577,1.15,1,0,0,0.116745,6.639293,3.630371,80
Manhattan,Midtown,40.75743,-73.96825,'Entire home/apt',92,-1,0.65,1,0,0,0.044979,5.397849,0.942671,110
Manhattan,'East Village',40.72825,-73.98959,'Entire home/apt',62,86,0.46,1,165,1,0.148406,7.225759,2.064861,130
Brooklyn,'Crown Heights',40.67582,-73.9518,'Private room',273,107,1.99,2,326,3,0.326114,8.223947,5.961488,55
Manhattan,'East Village',40.72297,-73.98265,'Entire home/apt',215,85,1.51,2,243,9,0.399038,7.078692,2.422074,175
Brooklyn,Greenpoint,40.72967,-73.95352,'Entire home/apt',152,101,1.08,2,95,10,0.120765,5.502486,2.621072,288
Bronx,'Clason Point',40.81161,-73.85499,'Private room',0,-1,0,6,15,0,1.525048,2.561593,8.028758,89
Manhattan,'Upper West Side',40.79936,-73.96155,'Private room',85,429,0.56,1,243,1,0.208028,5.091857,3.139172,88
Manhattan,Harlem,40.82402,-73.95263,'Private room',34,1112,0.25,1,239,0,0.150116,5.434359,4.896166,65
