X,Y,NAME,ADDRESS,LINE,TRAININFO_URL,WEB_URL,GIS_ID,MAR_ID,GLOBALID,OBJECTID,CREATOR,CREATED,EDITOR,EDITED,SE_ANNO_CAD_DATA
-77.0537179660692,38.8694704803745,Pentagon,"2 SOUTH ROTARY ROAD, ARLINGTON, VA","blue, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C07|Pentagon,https://www.wmata.com/rider-guide/stations/pentagon.cfm,MetroStnFullPt_78,,{1809FDF3-AF1F-4B0D-A986-969EF8747570},398,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0502921005754,38.8579120973493,Crystal City,"1750 SOUTH CLARK ST., ARLINGTON, VA","blue, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C09|Crystal City,https://www.wmata.com/rider-guide/stations/crystal-city.cfm,MetroStnFullPt_79,,{1E099B9E-EDEB-4F31-A5A6-9F8F485EFD09},399,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0050879292944,38.8764888672489,Navy Yard - Ballpark,"1155 NEW JERSEY AVENUE SE, WASHINGTON, DC",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F05|Navy Yard-Ballpark,https://www.wmata.com/rider-guide/stations/navy-yard.cfm,MetroStnFullPt_80,310434,{37EE846D-B21C-4E00-A7EF-DA36342F10D6},400,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0336364604538,38.9013405831796,McPherson Sq,"1402 I STREET NW, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#C02|McPherson Square,https://www.wmata.com/rider-guide/stations/mcpherson-sq.cfm,MetroStnFullPt_81,316430,{480ADD14-BBA2-4FBC-A8AE-BBCFE80BD337},401,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.021913986205,38.9134846603419,Shaw-Howard Univ,"1801 7TH ST NW, WASHINGTON, DC","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E02|Shaw-Howard%20U,https://www.wmata.com/rider-guide/stations/shaw-howard.cfm,MetroStnFullPt_82,310410,{A3577ACC-0450-432C-A3B6-93E72ABB02C3},402,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-76.9750564052962,38.841093556641,Southern Ave,"1411 SOUTHERN AVENUE, TEMPLE HILLS, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F08|Southern%20Avenue,https://www.wmata.com/rider-guide/stations/southern-ave.cfm,MetroStnFullPt_83,,{D7271547-6558-4608-8C5D-2F7E3EFC797E},403,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-76.9110598299777,39.0111536734921,Greenbelt,"5717 GREENBELT METRO DRIVE, GREENBELT, MD","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E10|Greenbelt,https://www.wmata.com/rider-guide/stations/greenbelt.cfm,MetroStnFullPt_84,,{3D20BECF-FD7A-4DBF-ADA9-DF59E6421E23},404,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0795896310761,38.9488592292971,Tenleytown-AU,"4501 WISCONSIN AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A07|Tenleytown-AU,https://www.wmata.com/rider-guide/stations/tenleytown.cfm,MetroStnFullPt_85,294846,{79B7595F-B0D0-4012-829E-150DB5005CDD},405,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.1890971592787,38.900788331407,West Falls Church VT/UVA,"7040 HAYCOCK ROAD, FALLS CHURCH, VA",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#K06|West%20Falls%20Church-VT/UVA,https://www.wmata.com/rider-guide/stations/west-falls-church.cfm,MetroStnFullPt_86,,{A9065B9D-409A-4360-AF08-830242425292},406,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.2271630195848,38.8836329114464,Dunn Loring Merrifield,"2700 GALLOWS ROAD, VIENNA, VA",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#K07|Dunn Loring-Merrifield,https://www.wmata.com/rider-guide/stations/dunn-loring.cfm,MetroStnFullPt_87,,{8BB00B62-C1C5-4E7A-A760-2D78C1D151C5},407,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.2726246181647,38.8776088964297,Vienna Fairfax-GMU,"2900 NUTLEY ST., FAIRFAX, VA",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#K08|Vienna/Fairfax-GMU,https://www.wmata.com/rider-guide/stations/vienna.cfm,MetroStnFullPt_88,,{B8F676CA-FEC8-488E-9646-88FC69142593},408,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0849981129191,38.9594916697664,Friendship Heights,"5337 WISCONSIN AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A08|Friendship Heights,https://www.wmata.com/rider-guide/stations/friendship-hghts.cfm,MetroStnFullPt_89,303188,{D847361A-1971-4F9F-AC41-217515EDA01C},409,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0595412155326,38.8618901641242,Pentagon City,"1250 SOUTH HAYES ST., ARLINGTON, VA","blue, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C08|Pentagon City,https://www.wmata.com/rider-guide/stations/pentagon-city.cfm,MetroStnFullPt_90,,{A94F3688-2272-46A9-9A44-775F3ADA0DF2},410,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
-77.0281342845236,38.8931886567079,Federal Triangle,"350 12TH STREET NW, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#D01|Federal Triangle,https://www.wmata.com/rider-guide/stations/federal-triangle.cfm,MetroStnFullPt_91,316345,{9F311386-D2FD-43FE-9233-DDF87A431B68},411,JLAY,2022/09/19 16:18:27+00,JLAY,2022/09/19 16:18:27+00,
