neighbourhood_group,neighbourhood,latitude,longitude,room_type,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,dist_from_subway_in_miles,dist_from_airport_in_miles,dist_from_city_center,price
NA,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92275,-77.04161,Entire home/apt,0,NA,1,0,0,-1,0.606707485,4.879529563,1.103338594,120
NA,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96971,-77.00793,Private room,18,0.18,2,43,2,165,0.711840684,8.276244011,4.594080866,26
NA,"Brightwood Park, Crestwood, Petworth",38.94482,-77.04437,Entire home/apt,165,1.24,5,120,30,94,1.018963613,6.408046289,2.627627298,118
NA,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,1,0.02,4,365,0,1319,0.82141384,9.420802883,5.626730867,90
NA,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91843,-77.04338,Entire home/apt,185,2.08,2,103,3,141,0.608869638,4.587276385,0.851823701,118
NA,"Brightwood Park, Crestwood, Petworth",38.94334,-77.01426,Entire home/apt,165,2.22,1,66,19,57,0.646602565,6.424298089,2.783234123,90
NA,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313,Entire home/apt,15,0.14,13,356,5,133,0.102244457,3.3085761,0.543242491,294
NA,"Howard University, Le Droit Park, Cardozo/Shaw",38.91491,-77.02544,Entire home/apt,61,0.54,1,179,0,548,0.18338025,4.385256466,0.821300111,160
NA,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,6,0.12,4,365,1,61,0.82141384,9.420802883,5.626730867,90
NA,"Georgetown, Burleith/Hillandale",38.90381,-77.06288,Entire home/apt,18,0.17,1,86,1,149,0.695452189,3.823761903,1.437664368,999
NA,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,9,0.08,4,365,1,143,0.82141384,9.420802883,5.626730867,90
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93584,-77.04107,Entire home/apt,14,0.17,2,13,4,65,0.721418752,5.78099424,1.989232877,150
NA,"Union Station, Stanton Park, Kingman Park",38.90419,-77.0022,Entire home/apt,255,2.27,2,59,38,66,0.200639327,4.083468802,1.905969591,210
NA,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313,Entire home/apt,26,0.25,13,362,0,1018,0.102244457,3.3085761,0.543242491,364
NA,"Capitol Hill, Lincoln Park",38.88466,-76.98084,Private room,137,1.31,2,364,0,1104,0.24907636,3.832054569,3.433335922,69
NA,"Colonial Village, Shepherd Park, North Portal Estates",38.9897,-77.0463,Private room,127,1.24,1,256,2,367,0.884483977,9.506012403,5.715590219,90
NA,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96691,-77.0044,Private room,39,0.3,2,256,4,94,0.983313217,8.127824068,4.485885403,58
NA,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87164,-77.01247,Private room,350,3.09,14,159,40,44,0.432092147,1.927438666,2.792772774,70
NA,"Union Station, Stanton Park, Kingman Park",38.90192,-77.00103,Entire home/apt,182,1.76,3,176,4,52,0.368600109,3.97806902,1.992099181,128
NA,"Cathedral Heights, McLean Gardens, Glover Park",38.93152,-77.08399,Entire home/apt,15,0.14,1,365,0,1088,1.220292737,6.034809975,3.070273553,325
NA,"Hawthorne, Barnaby Woods, Chevy Chase",38.96594,-77.078,Private room,348,3.56,4,345,25,51,0.586485225,8.157376393,4.63282858,72
NA,"Shaw, Logan Circle",38.91001,-77.02563,Entire home/apt,147,1.15,1,119,10,101,0.314080938,4.049744665,0.645165955,180
NA,"Union Station, Stanton Park, Kingman Park",38.89259,-76.99799,Entire home/apt,24,0.23,8,255,0,1200,0.559844776,3.536326888,2.351528484,3500
NA,"Dupont Circle, Connecticut Avenue/K Street",38.9146,-77.03602,Entire home/apt,60,0.47,1,299,1,38,0.49411819,4.313471949,0.512855701,149
NA,"North Cleveland Park, Forest Hills, Van Ness",38.95442,-77.07159,Entire home/apt,230,2.33,1,299,33,64,0.581375103,7.298581628,3.76872037,139
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9326,-77.0465,Entire home/apt,13,0.12,1,43,0,452,0.610574822,5.575256829,1.829303273,182
NA,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92029,-77.04861,Entire home/apt,0,NA,1,83,0,-1,0.391292071,4.742688804,1.106606157,105
NA,"Takoma, Brightwood, Manor Park",38.97735,-77.02458,Entire home/apt,139,1.62,1,28,15,42,0.360207602,8.671874688,4.886867682,84
NA,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.92306,-77.10052,Entire home/apt,13,0.19,1,0,7,71,2.115398452,5.978210246,3.641955279,115
NA,"Colonial Village, Shepherd Park, North Portal Estates",38.9806,-77.03084,Private room,26,0.21,2,361,7,73,0.758208635,8.874400925,5.075396742,95
NA,"Brightwood Park, Crestwood, Petworth",38.94091,-77.0195,Entire home/apt,117,2.12,1,159,24,36,0.322601147,6.20791348,2.512529698,120
NA,"Howard University, Le Droit Park, Cardozo/Shaw",38.91611,-77.02662,Entire home/apt,173,1.87,1,0,0,951,0.07846725,4.457907432,0.8324728,155
NA,"Capitol Hill, Lincoln Park",38.89105,-77.00117,Entire home/apt,26,0.33,19,365,6,275,0.466117296,3.346707853,2.246691536,247
NA,"Brightwood Park, Crestwood, Petworth",38.93671,-77.02897,Entire home/apt,38,0.52,2,257,6,298,0.304889379,5.857503015,2.081715558,100
NA,"Brookland, Brentwood, Langdon",38.91881,-76.9861,Private room,80,0.88,3,76,2,140,0.559346198,5.396675956,2.887047961,90
NA,"Colonial Village, Shepherd Park, North Portal Estates",38.9793,-77.0283,Private room,14,0.11,2,349,7,59,0.595436578,8.791783973,4.997010767,90
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91935,-77.01181,Entire home/apt,69,1.24,1,88,0,555,0.684205665,4.850742726,1.606080661,116
NA,"Union Station, Stanton Park, Kingman Park",38.90094,-76.99943,Entire home/apt,0,NA,2,0,0,-1,0.463366623,3.965114332,2.090962335,125
NA,"Union Station, Stanton Park, Kingman Park",38.89966,-76.99946,Entire home/apt,1,0.03,2,0,0,1125,0.453504383,3.889449862,2.109389066,129
NA,"Georgetown, Burleith/Hillandale",38.91642,-77.0706,Private room,25,0.2,4,365,2,161,1.159049922,4.78789933,1.946894602,139
NA,"Capitol Hill, Lincoln Park",38.89068,-77.00155,Entire home/apt,25,0.3,19,365,1,123,0.433914273,3.31384231,2.241573337,166
NA,"West End, Foggy Bottom, GWU",38.9076,-77.04689,Entire home/apt,35,0.33,1,0,2,290,0.234778113,3.862254757,0.546151834,93
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92489,-77.02806,Private room,30,0.39,2,0,1,323,0.319081744,5.049997258,1.312575068,45
NA,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.90632,-77.08163,Entire home/apt,96,0.93,2,20,10,101,0.922429137,4.444141089,2.443012701,330
NA,"Union Station, Stanton Park, Kingman Park",38.9042,-77.00228,Entire home/apt,131,1.25,2,89,0,410,0.199031182,4.082005079,1.901552425,186
NA,"Capitol View, Marshall Heights, Benning Heights",38.89094,-76.93638,Entire home/apt,137,1.07,1,308,14,37,0.108538731,6.146884897,5.60189219,75
NA,"Shaw, Logan Circle",38.91341,-77.02253,Private room,267,2.44,3,37,73,38,0.034026374,4.310682,0.893982091,71
NA,"Capitol Hill, Lincoln Park",38.88408,-77.0035,Entire home/apt,149,1.16,1,168,15,58,0.112710494,2.890578506,2.422928214,175
NA,"Takoma, Brightwood, Manor Park",38.96725,-77.02451,Private room,15,0.16,5,341,1,202,0.70087964,7.977907076,4.198311808,75
NA,"Dupont Circle, Connecticut Avenue/K Street",38.90645,-77.03694,Private room,9,0.7,46,270,7,269,0.269718483,3.750377764,0.051796065,55
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92806,-77.03796,Entire home/apt,21,0.19,6,270,2,145,0.29551518,5.241259671,1.44050313,85
NA,"Union Station, Stanton Park, Kingman Park",38.90012,-76.99736,Private room,9,0.15,1,0,0,919,0.567916802,3.978574326,2.213466041,60
NA,"Capitol Hill, Lincoln Park",38.89099,-76.99458,Entire home/apt,260,2.05,1,0,10,131,0.445665288,3.56971866,2.567143348,175
NA,"Union Station, Stanton Park, Kingman Park",38.8942,-76.97563,Entire home/apt,25,0.3,1,0,0,1569,0.522462392,4.463496825,3.463512971,67
NA,"Capitol Hill, Lincoln Park",38.88306,-76.99497,Entire home/apt,551,4.34,1,121,24,54,0.122146484,3.163213032,2.831196719,126
NA,Historic Anacostia,38.86256,-76.98689,Private room,105,0.83,2,364,1,391,0.464039291,2.866414087,4.116219999,396
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92317,-77.00073,Entire home/apt,369,3.5,1,73,58,53,0.299114692,5.302968976,2.261505834,91
NA,"Brightwood Park, Crestwood, Petworth",38.95356,-77.03007,Entire home/apt,138,1.37,1,333,15,52,1.169154746,7.013114714,3.220503871,69
