host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,dist_from_subway_in_miles,dist_from_airport_in_miles,dist_from_city_center,price
t,2,3,t,t,Forest Glen,41.99405,-87.75746,Private room,2,1,1,2,180,t,11,40,70,345,79,9,1,4.91,4.95,4.97,4.96,4.94,4.78,4.89,f,2,0,2,0,0.72,0.499323728,8.11509029,10.61098441,81
t,9,14,t,t,Lake View,41.9331,-87.64919,Private room,1,1,1,7,1125,t,1,14,44,90,28,2,0,4.43,4.46,4.57,4.75,4.64,4.93,4.29,f,6,5,1,0,0.32,0.218157421,11.60947629,3.939905835,99
t,2,2,t,t,Near North Side,41.90437,-87.6335,Entire home/apt,4,2,2,32,1125,t,0,13,43,227,156,3,0,4.86,4.92,4.89,4.98,4.99,4.9,4.89,f,2,2,0,0,1.39,0.045991226,10.43345989,1.823852954,75
f,6,6,t,t,West Town,41.88999,-87.66227,Private room,2,1,1,32,120,t,22,52,81,356,136,3,0,4.38,4.56,4.1,4.86,4.92,4.69,4.42,f,6,0,5,1,1.13,0.361857558,8.700855216,1.9534872,62
t,3,4,t,t,Lake View,41.93903,-87.65196,Entire home/apt,2,1,1,2,65,t,0,12,31,47,722,72,7,4.7,4.73,4.65,4.88,4.89,4.89,4.69,f,3,3,0,0,6,0.077008538,11.898392,4.374813197,127
f,3,6,t,t,Logan Square,41.92278,-87.70422,Private room,2,2,1,32,365,t,28,58,88,363,74,2,0,4.27,4.04,4.15,4.46,4.58,4.73,4.18,f,3,1,2,0,0.62,0.386353104,9.797694334,5.100496316,70
f,1,1,t,t,Lincoln Square,41.9765,-87.68144,Entire home/apt,4,2,2,7,1125,t,3,10,40,220,199,10,0,4.87,4.94,4.87,4.9,4.88,4.79,4.88,f,1,1,0,0,1.79,0.705542796,12.19631678,7.351768259,132
f,4,4,t,t,Logan Square,41.93115,-87.71836,Entire home/apt,4,3,6,32,1125,t,0,14,44,319,25,2,0,4.75,4.86,4.82,4.95,4.95,4.57,4.73,f,4,4,0,0,0.22,0.415493598,10.18644006,6.064631503,88
t,18,21,t,t,West Ridge,42.01653,-87.68788,Shared room,2,1,1,1,900,t,27,57,87,177,139,0,0,4.66,4.61,4.38,4.76,4.82,4.44,4.68,f,17,0,4,13,1.16,0.802669805,12.12954802,10.06432841,226
f,1,2,t,t,Lincoln Park,41.92218,-87.66079,Private room,2,3,1,2,1125,t,9,23,53,233,117,19,3,4.94,4.94,4.94,4.96,4.96,4.95,4.89,t,1,0,1,0,1.05,0.460810594,10.64493813,3.480501494,85
t,1,3,t,t,Lower West Side,41.85954,-87.65423,Entire home/apt,2,1,1,4,1125,t,7,7,8,8,168,1,0,4.92,4.96,4.9,4.96,4.98,4.59,4.78,f,1,1,0,0,1.47,0.405677885,7.381127952,1.849126639,125
f,8,12,t,t,Lincoln Park,41.92546,-87.6573,Entire home/apt,4,2,1,32,300,t,30,60,90,365,39,2,0,4.24,4.51,4.43,4.54,4.32,4.89,4.27,t,3,3,0,0,0.34,0.24287809,10.93443163,3.596287046,119
