neighbourhood_group,latitude,longitude,room_type,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,dist_from_airport_in_miles,dist_from_subway_in_miles,dist_from_city_center,price
NA,41.89698,-87.68679,Entire home/apt,35,0.36,1,177,3,77,8.454246903,0.540869634,3.373347005,425
NA,41.87346,-87.62843,Entire home/apt,34,1.46,1,16,28,44,9.068477058,0.061475954,0.328782245,139
NA,41.94124,-87.64941,Private room,356,3.78,2,356,20,64,12.09800908,0.232088944,4.486301115,98
NA,41.9254,-87.69753,Entire home/apt,47,0.54,1,332,9,49,10.0744828,0.222637957,4.932278445,250
NA,41.99632,-87.66385,Private room,61,0.63,2,225,0,479,13.21256454,0.285478674,8.366358223,65
NA,41.90564,-87.6294,Entire home/apt,204,2.16,1,91,35,98,10.64203813,0.151761416,1.900385501,202
NA,41.96833,-87.68547,Entire home/apt,78,0.82,1,212,0,1078,11.99636581,0.197374564,6.928240469,150
NA,41.81873,-87.61387,Entire home/apt,12,0.14,4,361,1,298,7.893868327,0.306016503,4.187848112,163
NA,41.8905,-87.68672,Entire home/apt,118,1.23,1,62,22,59,8.053185344,0.122143744,3.22345639,157
NA,42.01653,-87.68788,Shared room,103,1.07,17,14,5,94,12.12954802,0.802669805,10.06432841,29
NA,41.90487,-87.62747,Entire home/apt,96,1.01,1,178,2,135,10.66794882,0.21899332,1.851505781,267
NA,41.95518,-87.66999,Private room,34,0.38,1,105,2,271,12.51071915,0.275805222,5.753427869,75
NA,41.96114,-87.70514,Private room,19,0.2,1,156,3,72,10.96780312,0.358438104,7.053478464,36
NA,41.95931,-87.67795,Entire home/apt,81,0.85,1,116,15,72,12.45732039,0.210767719,6.189562876,199
NA,41.85565,-87.63322,Private room,11,0.23,1,365,3,318,8.089685128,0.131874696,1.560264318,33
NA,41.95501,-87.73814,Private room,128,1.36,1,82,7,78,9.244069189,0.391013689,7.946920873,126
NA,41.96574,-87.65747,Private room,111,1.63,1,114,21,50,13.44171998,0.034966135,6.233025455,95
NA,41.9116,-87.66693,Entire home/apt,306,3.22,5,210,21,121,9.843116782,0.363596899,3.07456817,231
NA,41.90376,-87.69556,Entire home/apt,159,1.7,1,193,1,307,8.698068868,0.952861056,4.00330781,90
NA,41.95904,-87.64822,Entire home/apt,51,0.57,1,74,6,206,13.22563109,0.50085065,5.674694536,250
NA,41.900188,-87.661751,Private room,26,0.27,1,353,15,45,9.304720271,0.385245073,2.316497689,125
NA,41.96109,-87.72917,Entire home/apt,16,0.23,1,75,11,115,9.665209624,0.512363969,7.888458866,120
NA,41.92125,-87.70158,Private room,100,1.1,2,258,27,57,9.736141259,0.248540849,4.921854082,59
NA,41.92286,-87.70154,Private room,66,0.71,2,304,13,53,9.843290503,0.242355018,4.988124093,59
NA,41.7221,-87.57825,Entire home/apt,46,0.53,1,104,6,100,10.48121907,1.397770827,11.12590841,224
NA,41.94207,-87.64757,Entire home/apt,65,0.74,1,0,0,947,12.19557332,0.346823563,4.519308308,105
NA,41.90992,-87.67521,Private room,57,0.63,3,355,15,52,9.532885341,0.13188545,3.311785995,159
NA,41.97106,-87.66777,Hotel room,76,0.83,11,321,11,52,12.95229097,0.447413372,6.740955085,408
NA,41.90596,-87.67569,Entire home/apt,128,1.4,1,346,25,45,9.27672497,0.288627255,3.158067822,130
NA,41.94544,-87.65169,Entire home/apt,56,0.6,1,332,37,45,12.29917351,0.161105147,4.797716043,148
NA,41.97095,-87.66798,Entire home/apt,27,0.3,11,165,0,493,12.94114159,0.433695009,6.737272306,586
NA,41.97106,-87.66777,Private room,32,0.34,11,195,3,157,12.95229097,0.447413372,6.740955085,313
NA,41.91233,-87.65146,Private room,270,2.94,1,308,17,52,10.3130878,0.175268916,2.641412085,105
NA,41.90637,-87.68954,Private room,233,2.53,3,4,30,52,8.986867861,0.665966092,3.800568738,48
NA,41.96688,-87.69876,Entire home/apt,12,0.13,2,0,0,541,11.27881214,0.140761979,7.190446592,105
NA,41.80944,-87.61664,Entire home/apt,29,0.36,1,345,2,53,7.587068069,0.108289486,4.791719862,100
NA,41.687,-87.6076,Private room,7,0.08,1,0,0,1590,10.44845966,0.277346862,13.24149515,50
NA,41.89295,-87.62217,Entire home/apt,308,3.41,2,149,46,52,10.24798229,0.314855357,1.106101947,250
NA,41.91832,-87.68851,Private room,87,0.97,11,46,0,956,9.773927373,0.131844194,4.239961959,36
NA,41.89492,-87.65926,Private room,187,2.43,4,139,57,41,9.07451836,0.216872125,1.983499347,84
NA,41.89998,-87.69244,Private room,188,2.04,1,57,9,192,8.518936365,0.774828044,3.7385344,88
NA,41.92026,-87.67979,Entire home/apt,5,0.07,1,95,0,433,10.0767291,0.494723928,3.98903909,150
NA,41.8911,-87.66947,Entire home/apt,0,NA,1,357,0,-1,8.549568559,0.40213027,2.344373482,5000
NA,41.90451,-87.67943,Private room,170,1.96,2,32,53,37,9.096285881,0.38162654,3.265539166,57
NA,41.90434,-87.67967,Private room,234,2.55,2,196,44,38,9.080003658,0.396461044,3.269911744,55
NA,41.89329,-87.68574,Entire home/apt,393,4.36,3,124,50,49,8.249467938,0.313181918,3.229153089,159
