id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,days_since_last_review,
5.79838E+17,3bd Home w/ Pool-Table in the Heart of Chicago,433501601,Marisa,,Lower West Side,41.85502,-87.68053,Entire home/apt,267,1,7,8/17/2022,2.41,3,57,7,R22000082682,63,
5.79932E+17,Suite Home Studio in the heart of the Chicago Loop,396270947,Jennifer,,Loop,41.88462,-87.6298,Entire home/apt,149,32,1,9/10/2022,1,36,299,1,,39,
5.79942E+17,Gorgeous 1-Bedroom apartment with skyline views,396270947,Jennifer,,Loop,41.88348,-87.6297,Entire home/apt,179,32,1,7/23/2022,0.56,36,305,1,,88,
5.79953E+17,Beautiful 5BR reunion home near O'Hare,295507051,Annelise,,Irving Park,41.94857,-87.71267,Entire home/apt,405,3,11,9/11/2022,2.41,3,150,11,R21000075040,38,
5.803E+17,Art Gallery condo,185185964,Angenada,,Near West Side,41.88153,-87.68593,Entire home/apt,161,2,18,9/4/2022,3.94,1,158,18,R22000081269,45,
5.80342E+17,"W. Loop 1BR w/ Pool Gym & W/D, nr Fulton Mkt",107434423,Blueground,,Near West Side,41.8806434,-87.6487655,Entire home/apt,175,32,0,,,525,307,0,,-1,
5.80345E+17,"W. Loop Studio w/ Gym, W/D & Pool, 3 blocks to L",107434423,Blueground,,Near West Side,41.885209,-87.6471114,Entire home/apt,170,32,1,4/27/2022,0.21,525,225,1,,175,
5.80381E+17,Lazy Bee-Rare Loft w/Chicago skyline views!,327935979,Erick,,Lower West Side,41.856613,-87.654671,Entire home/apt,439,2,5,9/11/2022,1.2,4,209,5,R22000078895,38,
5.80387E+17,Vintage Hyde Park Home,69130426,Charla,,Hyde Park,41.79831,-87.60341,Entire home/apt,110,32,2,7/24/2022,0.54,2,303,2,,87,
5.80393E+17,The best Apartment @Rush & Division 2/2 By C9,175391883,Cloud9,,Near North Side,41.89847,-87.6318,Entire home/apt,590,2,0,,,22,319,0,R22000079967,-1,
5.80393E+17,"Gorgeous 2 Bdr for 6 @JeffJack | Gym, Pool & More",175391883,Cloud9,,Near West Side,41.87671,-87.64214,Entire home/apt,517,2,3,6/12/2022,0.83,22,334,3,R22000078099,129,
5.80396E+17,Stylish New Apartment 2Bdr 2Bth Full Amenities►C9,139564281,Claudia,,Near West Side,41.8788,-87.64329,Entire home/apt,517,2,1,7/17/2022,0.5,19,337,1,R22000078099,94,
5.80402E+17,Stylish New Jeff Jack Apartment by Cloud9,240228770,Cloud9,,Near West Side,41.87693,-87.64393,Entire home/apt,517,2,0,,,19,337,0,R22000078099,-1,
5.80404E+17,Marvelous 2Bdrs Apt | Full Ameties | Best Location,248760412,Cloud9,,Near West Side,41.87862,-87.64338,Entire home/apt,517,2,3,8/29/2022,0.98,18,347,3,R22000078099,51,
