host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,days_since_last_review,dist_from_subway_in_miles,dist_from_airport_in_miles,dist_from_city_center,price
FALSE,1,2,TRUE,TRUE,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.89768,-76.91772,Private room,2,1,1,2,50,TRUE,27,57,87,87,6,4,0,4.8,4.8,4.8,5,5,4.8,5,FALSE,1,0,1,0,0.12,58,0.647091,6.569974,6.350604,73
FALSE,,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90431,-77.01483,Entire home/apt,4,2,2,31,731,TRUE,7,37,67,342,4,0,0,4.5,5,5,4.75,4.75,4.75,4.25,TRUE,157,157,0,0,0.12,38,0.40344,3.800889,1.186586,164
FALSE,3,3,TRUE,FALSE,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90137,-76.97872,Entire home/apt,8,3,4,2,365,TRUE,10,29,59,238,5,1,0,4.4,4.6,5,4.8,4.4,3.8,4.4,FALSE,3,3,0,0,0.12,63,1.014744,4.618224,3.109669,242
TRUE,2,2,TRUE,FALSE,"North Michigan Park, Michigan Park, University Heights",38.93921,-76.99347,Private room,2,,1,20,360,TRUE,1,16,46,136,5,3,0,5,5,5,5,5,5,5,FALSE,2,1,1,0,0.12,145,0.41724,6.451486,3.19007,56
FALSE,,,,,"North Cleveland Park, Forest Hills, Van Ness",38.93982,-77.05973,Entire home/apt,4,2,2,31,731,TRUE,1,1,16,291,4,0,0,4.75,4.75,5,5,5,5,5,TRUE,157,157,0,0,0.12,51,0.294269,6.164298,2.555403,125
FALSE,8,10,TRUE,TRUE,"Capitol Hill, Lincoln Park",38.88731,-77.00208,Private room,2,1,1,31,1125,TRUE,30,60,90,326,4,1,0,3.5,3.5,4.5,4,4,4,3,TRUE,8,0,8,0,0.12,409,0.224086,3.07666,2.299833,335
FALSE,,,,,"Union Station, Stanton Park, Kingman Park",38.8995,-76.99188,Entire home/apt,4,2,2,31,731,TRUE,0,14,44,319,3,0,0,5,5,5,5,5,5,5,TRUE,157,157,0,0,0.12,49,0.786314,4.073508,2.444496,119
FALSE,14,44,TRUE,TRUE,"Dupont Circle, Connecticut Avenue/K Street",38.91227,-77.04469,Private room,2,1,1,2,799,TRUE,1,23,53,328,4,1,1,5,5,5,5,5,5,5,TRUE,12,2,10,0,0.12,405,0.195823,4.16824,0.541149,155
FALSE,9,14,TRUE,TRUE,"Douglas, Shipley Terrace",38.8482,-76.97704,Private room,4,1,2,31,1125,TRUE,29,59,89,269,4,1,0,4.75,4.5,4.75,4.75,5,4.75,4.75,FALSE,4,0,4,0,0.12,52,0.501488,3.226064,5.161231,132
FALSE,,,,,"Dupont Circle, Connecticut Avenue/K Street",38.91398,-77.04622,Entire home/apt,2,1,1,31,731,TRUE,30,60,90,365,3,1,0,4,5,5,5,3.67,5,3.33,TRUE,157,157,0,0,0.12,-1,0.336405,4.293549,0.680332,124
FALSE,,,,,"Shaw, Logan Circle",38.9059,-77.02356,Entire home/apt,2,,1,31,731,TRUE,1,1,14,289,4,0,0,4.75,5,4.5,5,4.75,5,4.75,TRUE,157,157,0,0,0.12,2163,0.094857,3.78706,0.712687,104
FALSE,35,36,TRUE,TRUE,"Union Station, Stanton Park, Kingman Park",38.89329,-76.99855,Entire home/apt,2,1,2,31,1125,TRUE,1,14,44,319,4,2,0,4.75,4.75,4.25,5,5,5,4.5,FALSE,33,33,0,0,0.12,72,0.562629,3.518856,2.247767,85
FALSE,3,5,TRUE,TRUE,"Capitol Hill, Lincoln Park",38.88594,-76.9786,Private room,1,1,1,31,1125,TRUE,30,60,90,151,1,1,0,4,4,4,4,4,4,4,FALSE,3,0,3,0,0.12,201,0.096272,3.906705,3.420438,74
FALSE,,,,,"Capitol Hill, Lincoln Park",38.89023,-77.0024,Entire home/apt,2,,,31,731,TRUE,23,53,83,353,3,1,0,5,5,5,4.33,5,5,5,TRUE,157,157,0,0,0.12,81,0.384533,3.228262,2.171287,104
FALSE,1,3,TRUE,TRUE,"Union Station, Stanton Park, Kingman Park",38.90595,-77.0088,Entire home/apt,3,1,1,31,1125,TRUE,0,0,0,0,4,0,0,5,5,4.5,5,4.75,5,4.75,FALSE,1,1,0,0,0.12,1521,0.315035,4.018914,1.491795,80
FALSE,1,9,TRUE,FALSE,"Ivy City, Arboretum, Trinidad, Carver Langston",38.909,-76.98662,Entire home/apt,2,1,2,31,1125,TRUE,19,49,79,79,4,0,0,5,5,5,5,5,5,5,FALSE,1,1,0,0,0.12,37,0.879972,4.768915,2.667733,115
FALSE,1,2,TRUE,FALSE,"West End, Foggy Bottom, GWU",38.89983,-77.05151,Entire home/apt,5,4,5,60,1125,TRUE,0,0,0,246,3,2,0,4.33,4.67,4,4.33,5,5,4,FALSE,1,1,0,0,0.12,107,0.088889,3.373758,0.926385,180
FALSE,,,,,"West End, Foggy Bottom, GWU",38.90137,-77.0558,Entire home/apt,2,,,31,731,TRUE,5,35,65,340,3,1,0,4.67,5,5,5,4.67,5,4.33,TRUE,157,157,0,0,0.12,94,0.296126,3.532428,1.079455,91
FALSE,,,,,"West End, Foggy Bottom, GWU",38.90145,-77.05615,Entire home/apt,4,2,2,31,731,TRUE,0,14,44,319,3,1,0,4.33,5,4.33,5,5,5,4,TRUE,157,157,0,0,0.12,2288,0.315318,3.542816,1.094678,162
FALSE,,,,,"West End, Foggy Bottom, GWU",38.89945,-77.05435,Entire home/apt,2,,,31,731,TRUE,5,35,65,340,2,1,0,3,4,4,4.5,3.5,4,3,TRUE,157,157,0,0,0.12,382,0.232461,3.384268,1.068319,91
FALSE,99,387,TRUE,TRUE,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90172,-76.98676,Private room,1,1,1,91,365,TRUE,28,58,88,362,1,1,0,3,4,5,5,4,4,2,TRUE,63,4,59,0,0.12,67,0.936404,4.360096,2.684186,65
FALSE,1,1,TRUE,TRUE,"Brightwood Park, Crestwood, Petworth",38.95754,-77.02515,Entire home/apt,4,,2,31,1125,FALSE,0,0,0,0,3,0,0,4,5,4.33,5,3.67,5,4.67,FALSE,1,1,0,0,0.12,118,1.277776,7.305688,3.528844,200
FALSE,2,2,TRUE,TRUE,Historic Anacostia,38.86514,-76.98792,Entire home/apt,2,1,1,2,500,TRUE,4,7,21,200,3,0,0,4.67,4.33,5,5,5,3.67,5,FALSE,2,2,0,0,0.12,38,0.422413,2.787394,3.893754,95
