@relation 'dc_listings - full-weka.filters.unsupervised.attribute.Remove-R1-5,10-18,22-30,32-34-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute calculated_host_listings_count numeric
@attribute reviews_per_month numeric
@attribute days_since_last_review numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Entire home/apt',203,16,0,1,0.24,60,0.42437,6.252598,2.575596,52
'Entire home/apt',0,15,0,1,0.24,67,0.523274,5.523689,1.731296,155
'Entire home/apt',0,15,0,2,0.24,35,0.496058,3.389365,2.150836,300
'Entire home/apt',0,17,0,1,0.24,51,0.42451,4.686056,0.890113,80
'Entire home/apt',349,16,0,1,0.24,157,0.152763,6.120317,3.004521,90
'Entire home/apt',0,10,0,1,0.24,163,1.567732,6.561786,4.084805,69
'Private room',178,15,4,2,0.24,85,0.608039,9.211601,5.409618,70
'Private room',341,16,0,12,0.24,2911,0.040421,5.844965,4.850141,40
'Private room',0,14,0,2,0.24,870,0.545436,8.268035,4.553666,69
'Private room',268,14,6,6,0.24,35,0.340975,3.690836,0.488801,59
'Private room',176,13,6,2,0.24,61,0.286168,2.69049,2.76504,109
'Shared room',341,13,3,33,0.24,963,0.287706,3.175468,3.318212,29
'Entire home/apt',89,13,1,1,0.24,206,0.993555,6.924994,3.164952,1500
'Private room',0,12,0,2,0.24,2235,0.350203,4.364538,0.582592,62
'Entire home/apt',283,9,1,33,0.24,1280,0.481116,4.527512,0.725455,70
'Entire home/apt',341,9,3,33,0.24,43,0.542899,3.51901,2.228384,60
'Shared room',179,9,2,18,0.24,48,0.138634,5.17198,1.399711,48
'Private room',326,8,0,14,0.24,36,0.341065,3.66323,0.540174,362
'Private room',362,6,0,10,0.24,60,0.317054,3.674591,0.590082,322
'Entire home/apt',0,8,0,1,0.24,123,0.132285,4.186,0.814068,249
'Private room',317,6,4,6,0.24,221,0.504864,4.477354,0.807017,255
'Entire home/apt',225,5,0,1,0.24,106,0.419164,8.457606,4.669515,85
'Entire home/apt',299,3,2,157,0.24,53,0.317957,3.525063,1.106997,86
'Entire home/apt',157,4,2,32,0.24,158,0.915306,4.25924,1.297232,267
'Private room',182,6,1,16,0.24,50,0.528517,6.211001,4.8617,40
'Entire home/apt',83,5,0,8,0.24,73,0.662618,8.022731,4.240363,190
'Entire home/apt',204,5,3,1,0.24,171,0.325988,4.08411,0.285145,300
'Entire home/apt',365,3,2,1,0.24,-1,0.163901,5.379345,2.535994,675
'Entire home/apt',341,3,2,156,0.24,2070,0.254214,4.23284,0.542704,103
'Entire home/apt',317,3,2,1,0.24,132,0.34832,7.098296,3.653091,120
'Entire home/apt',89,3,2,1,0.24,408,0.423196,5.07643,1.283676,120
'Private room',318,3,2,2,0.24,67,0.39319,6.172673,4.986679,34
'Entire home/apt',271,1,1,13,0.24,65,0.27732,5.466638,1.69403,135
'Entire home/apt',286,1,1,2,0.24,1481,1.327431,4.931439,3.201302,40
'Private room',156,1,1,15,0.24,47,0.550831,1.873907,2.912597,551
'Entire home/apt',147,12,11,1,0.24,387,0.202932,2.819949,4.998435,260
'Private room',331,19,0,12,0.24,920,0.653513,6.069962,7.227484,38
'Entire home/apt',136,2,2,156,0.24,159,0.232611,3.482364,2.794858,290
'Entire home/apt',46,4,1,3,0.24,69,0.209852,3.50117,2.849545,179
'Private room',222,20,2,12,0.24,52,0.651252,6.085162,7.214958,38
'Entire home/apt',278,4,2,31,0.24,54,0.271947,3.232151,1.920886,70
'Entire home/apt',334,32,2,5,0.24,48,0.289492,3.216895,1.992096,68
'Entire home/apt',348,5,2,157,0.24,36,0.417754,3.353662,2.600278,106
'Private room',311,6,3,46,0.24,38,0.527366,9.724629,5.941735,35
'Entire home/apt',0,18,0,1,0.18,2265,0.046519,2.827171,2.311977,120
'Private room',168,16,4,46,0.18,64,0.034978,5.968961,2.23919,39
'Private room',43,18,2,2,0.18,2180,0.699023,8.267023,4.578328,26
'Private room',105,22,0,5,0.18,2623,0.936642,6.285265,2.50319,59
'Entire home/apt',2,16,3,2,0.18,411,0.787738,5.799085,2.015806,60
'Private room',215,18,2,5,0.18,54,0.723486,7.954309,4.1722,65
'Private room',358,18,0,3,0.18,86,0.923516,9.005509,5.205611,300
'Entire home/apt',0,14,3,1,0.18,65,0.18919,3.884019,0.501776,102
'Entire home/apt',92,14,3,17,0.18,954,0.277535,3.564405,0.798266,440
'Private room',0,13,0,1,0.18,37,0.386889,4.701291,1.217505,65
'Entire home/apt',354,9,1,1,0.18,82,0.666549,7.55712,4.361369,300
'Private room',247,12,2,46,0.18,38,0.603527,4.815677,1.498185,36
'Private room',0,10,0,1,0.18,956,1.654757,6.69403,4.212222,39
'Private room',0,10,0,1,0.18,52,0.778369,4.319937,3.010427,39
'Entire home/apt',0,9,0,1,0.18,79,0.390776,3.792285,0.248374,90
'Shared room',349,9,4,33,0.18,55,0.351543,3.0861,3.253462,29
'Entire home/apt',0,7,0,4,0.18,43,0.824268,3.923557,2.599479,149
'Private room',197,8,3,5,0.18,141,0.149175,6.695719,5.494097,68
'Entire home/apt',272,6,3,157,0.18,164,0.172238,3.907331,0.65229,91
'Entire home/apt',314,6,2,157,0.18,44,0.167699,3.805227,0.628948,109
'Entire home/apt',100,7,2,157,0.18,205,0.325597,3.735619,1.089642,143
'Entire home/apt',187,7,2,1,0.18,49,0.242965,3.471205,0.654479,250
'Private room',326,2,2,14,0.18,184,0.314889,3.689704,0.461337,562
'Entire home/apt',319,7,0,1,0.18,258,0.747044,6.969423,3.262735,65
'Entire home/apt',347,3,2,157,0.18,49,0.305889,4.102036,0.601907,124
'Entire home/apt',288,6,3,33,0.18,38,0.604493,4.645946,0.847911,70
'Entire home/apt',0,6,0,3,0.18,81,0.801851,7.264594,3.954787,110
'Entire home/apt',340,5,1,157,0.18,66,0.324904,3.494343,1.128208,91
'Entire home/apt',107,4,1,157,0.18,2833,0.2583,3.376844,1.094497,191
'Entire home/apt',0,5,1,157,0.18,49,0.319749,3.527495,1.107693,103
'Entire home/apt',349,4,2,157,0.18,1098,0.158757,3.395158,3.3957,80
'Entire home/apt',0,5,0,1,0.18,44,0.650028,4.668086,1.653515,46
'Entire home/apt',88,4,1,1,0.18,68,0.374225,3.223063,2.196891,64
'Entire home/apt',319,2,2,156,0.18,107,0.171018,4.346327,0.676312,106
'Entire home/apt',317,3,2,156,0.18,37,0.164601,4.356323,0.679125,127
'Private room',78,3,0,1,0.18,46,0.392728,6.273348,5.718245,50
'Private room',89,1,1,8,0.18,87,0.073562,3.49462,1.62989,452
'Entire home/apt',287,1,1,235,0.18,52,0.212759,2.432914,2.495475,157
'Entire home/apt',158,1,1,156,0.18,38,0.192162,4.160743,0.458119,175
'Entire home/apt',330,1,1,1,0.18,2852,0.38874,4.883298,1.081664,100
'Private room',365,1,1,4,0.18,63,0.333854,4.333693,3.605424,115
'Entire home/apt',177,10,0,1,0.18,89,1.398202,9.884311,6.124203,125
'Entire home/apt',248,1,1,235,0.18,55,0.293917,9.312705,5.845356,144
'Entire home/apt',212,5,2,1,0.18,39,0.723412,10.149593,6.371075,69
'Entire home/apt',298,21,0,1,0.18,66,0.379124,8.020649,6.442368,92
'Entire home/apt',316,1,1,31,0.18,41,0.251546,3.264724,2.025981,57
'Entire home/apt',0,34,4,1,0.3,73,0.710643,5.773375,2.002513,350
'Private room',256,39,4,2,0.3,101,0.96655,8.116074,4.465571,58
'Entire home/apt',0,25,0,1,0.3,500,0.522111,4.388575,3.368921,67
'Entire home/apt',365,25,1,19,0.3,50,0.431348,3.279726,2.193061,166
'Entire home/apt',317,25,4,8,0.3,39,0.180354,5.348074,1.57546,83
'Entire home/apt',0,23,2,1,0.3,38,0.564577,4.605839,1.658956,150
'Entire home/apt',362,17,7,29,0.3,81,0.102028,3.308033,0.540986,364
'Private room',270,16,1,12,0.3,43,0.190558,4.135752,0.562391,200
'Entire home/apt',0,14,0,1,0.3,43,0.315297,5.013971,1.55878,100
'Entire home/apt',0,12,0,1,0.3,416,0.279485,3.675234,0.157072,99
'Entire home/apt',0,10,0,1,0.3,60,0.190357,2.960336,2.664357,150
'Entire home/apt',5,1,1,157,0.3,60,0.331973,3.543711,1.112482,103
'Entire home/apt',1,8,0,2,0.3,107,0.101347,6.571993,5.329172,89
'Private room',175,7,3,2,0.3,67,0.568735,5.259418,4.316632,95
'Entire home/apt',277,5,3,5,0.3,49,0.393235,4.363485,0.624235,112
'Private room',189,5,4,46,0.3,89,0.533789,4.7928,1.414968,28
'Entire home/apt',330,1,1,96,0.3,122,0.20447,4.17057,0.460796,104
'Entire home/apt',0,3,3,16,0.3,40,0.399956,4.026121,2.048328,95
'Entire home/apt',270,54,2,1,0.46,48,0.728384,7.028934,3.92526,100
'Entire home/apt',117,43,0,1,0.46,49,0.182827,3.319503,1.017589,75
'Entire home/apt',0,44,0,1,0.46,138,0.34436,3.973233,0.171123,99
'Entire home/apt',220,36,7,8,0.46,45,0.226941,5.426707,1.649852,102
'Entire home/apt',314,39,9,9,0.46,557,0.360089,4.335802,0.614151,85
'Entire home/apt',2,33,13,1,0.46,2256,0.054796,5.882036,5.350293,85
'Entire home/apt',106,27,3,12,0.46,143,0.31302,4.278081,1.134882,125
'Entire home/apt',89,25,0,1,0.46,45,0.021193,3.435266,0.846632,157
'Entire home/apt',266,21,7,32,0.46,313,0.312732,4.246445,0.67631,200
'Entire home/apt',299,2,2,1,0.46,38,0.580465,4.215833,0.960313,119
'Entire home/apt',0,11,1,1,0.46,323,0.444032,3.283474,2.149842,99
'Entire home/apt',78,10,9,10,0.46,44,0.161556,3.297437,2.629913,132
'Entire home/apt',0,10,3,3,0.46,44,0.578847,4.799549,1.795581,200
'Entire home/apt',288,9,6,156,0.46,35,0.384704,4.364149,0.667284,115
'Entire home/apt',363,3,3,6,0.46,-1,0.10207,3.308045,0.541044,426
'Entire home/apt',85,4,4,5,0.46,1173,0.482065,4.301694,0.499567,95
'Private room',347,1,1,1,0.46,69,0.998588,4.788775,2.7922,51
'Entire home/apt',275,42,0,1,0.46,-1,0.304498,8.904681,5.134098,150
'Private room',143,22,3,7,0.46,56,0.448863,10.144017,6.350509,42
'Private room',348,14,2,46,0.13,199,0.061003,5.885178,2.161183,35
'Entire home/apt',362,14,0,13,0.13,199,0.102028,3.308033,0.540986,364
