@relation 'dc_listings - full-weka.filters.unsupervised.attribute.Remove-R1-5,10-18,22-30,32-34-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute neighbourhood_cleansed {'Historic Anacostia','Cathedral Heights, McLean Gardens, Glover Park','Edgewood, Bloomingdale, Truxton Circle, Eckington','Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View','River Terrace, Benning, Greenway, Dupont Park','Fairfax Village, Naylor Gardens, Hillcrest, Summit Park','Near Southeast, Navy Yard','Dupont Circle, Connecticut Avenue/K Street','Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill','Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir','Takoma, Brightwood, Manor Park','Friendship Heights, American University Park, Tenleytown','Brightwood Park, Crestwood, Petworth','Colonial Village, Shepherd Park, North Portal Estates','Georgetown, Burleith/Hillandale','Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace','Capitol Hill, Lincoln Park','Ivy City, Arboretum, Trinidad, Carver Langston','Shaw, Logan Circle','Union Station, Stanton Park, Kingman Park','Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street','Howard University, Le Droit Park, Cardozo/Shaw','Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights','North Michigan Park, Michigan Park, University Heights','North Cleveland Park, Forest Hills, Van Ness','Douglas, Shipley Terrace','West End, Foggy Bottom, GWU','Congress Heights, Bellevue, Washington Highlands','Kalorama Heights, Adams Morgan, Lanier Heights','Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point','Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont','Woodridge, Fort Lincoln, Gateway','Mayfair, Hillbrook, Mahaning Heights','Eastland Gardens, Kenilworth','Brookland, Brentwood, Langdon','Capitol View, Marshall Heights, Benning Heights','Hawthorne, Barnaby Woods, Chevy Chase','Woodland/Fort Stanton, Garfield Heights, Knox Hill','Sheridan, Barry Farm, Buena Vista'}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute calculated_host_listings_count numeric
@attribute reviews_per_month numeric
@attribute days_since_last_review numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Georgetown, Burleith/Hillandale',38.9104,-77.05631,'Entire home/apt',43,57,33,6,1.87,56,0.685541,4.141893,1.052159,283
'Capitol Hill, Lincoln Park',38.88982,-76.99655,'Entire home/apt',25,2,2,2,1.87,59,0.359276,3.395555,2.451841,500
'Congress Heights, Bellevue, Washington Highlands',38.83904,-76.99232,'Entire home/apt',353,19,19,1,1.87,563,0.499679,2.568265,5.263186,98
'Georgetown, Burleith/Hillandale',38.90441,-77.0575,'Entire home/apt',330,16,16,37,1.87,61,0.460167,3.758892,1.108642,258
'Ivy City, Arboretum, Trinidad, Carver Langston',38.906857,-76.983859,'Private room',356,2,2,11,1.87,62,1.015723,4.734664,2.811252,50
'Union Station, Stanton Park, Kingman Park',38.892656,-76.998023,'Entire home/apt',124,2,2,1,1.87,362,0.564049,3.500325,2.291857,125
'Hawthorne, Barnaby Woods, Chevy Chase',38.98759,-77.06755,'Entire home/apt',16,33,19,2,1.87,1151,1.425895,9.481753,5.779883,787
'Union Station, Stanton Park, Kingman Park',38.89966,-76.99946,'Entire home/apt',0,1,0,2,0.03,36,0.441324,3.856956,2.051389,129
'Howard University, Le Droit Park, Cardozo/Shaw',38.91518,-77.01494,'Private room',331,2,1,7,0.03,1175,0.387691,4.516543,1.287555,115
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.899914,-77.03313,'Entire home/apt',356,3,0,13,0.03,1164,0.102028,3.308033,0.540986,294
'North Michigan Park, Michigan Park, University Heights',38.95271,-76.98901,'Private room',358,2,0,1,0.03,514,0.70184,7.406155,4.03771,65
'Brightwood Park, Crestwood, Petworth',38.94185,-77.02352,'Entire home/apt',365,3,0,3,0.03,236,0.304138,6.238167,2.493801,350
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.899914,-77.03313,'Entire home/apt',362,2,0,13,0.03,36,0.102028,3.308033,0.540986,364
'Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace',38.93678,-77.06091,'Entire home/apt',0,2,0,1,0.03,327,0.205625,5.971041,2.405222,119
'Capitol Hill, Lincoln Park',38.87908,-76.99534,'Entire home/apt',0,2,0,1,0.03,98,0.384564,2.916385,2.935385,190
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90484,-77.02552,'Private room',0,2,0,1,0.03,52,0.22075,3.695846,0.624736,100
'Brightwood Park, Crestwood, Petworth',38.94033,-77.0279,'Entire home/apt',0,2,1,1,0.03,-1,0.308211,6.109973,2.335206,84
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90406,-77.01805,'Entire home/apt',0,2,0,1,0.03,-1,0.262812,3.733394,1.022273,75
'Shaw, Logan Circle',38.90844,-77.02895,'Entire home/apt',0,2,0,1,0.03,38,0.397381,3.915005,0.429949,125
'Union Station, Stanton Park, Kingman Park',38.8977,-77.0032,'Entire home/apt',0,2,0,1,0.03,669,0.223536,3.639047,1.902586,325
'North Cleveland Park, Forest Hills, Van Ness',38.94936,-77.06664,'Entire home/apt',0,2,0,1,0.03,588,0.462441,6.884026,3.308623,60
'Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace',38.93314,-77.06783,'Entire home/apt',0,2,1,1,0.03,44,0.53068,5.815354,2.427112,750
'Union Station, Stanton Park, Kingman Park',38.89352,-76.99861,'Entire home/apt',0,2,0,5,0.03,38,0.551366,3.529819,2.238153,5000
'Brookland, Brentwood, Langdon',38.92578,-76.97788,'Private room',0,2,0,2,0.03,57,1.010862,5.991415,3.380582,75
'Near Southeast, Navy Yard',38.87216,-77.00608,'Entire home/apt',0,2,0,1,0.03,1122,0.303285,2.173434,2.917834,99
'Shaw, Logan Circle',38.90857,-77.0305,'Entire home/apt',0,1,0,1,0.03,226,0.477971,3.915056,0.352126,210
'Shaw, Logan Circle',38.90811,-77.02625,'Entire home/apt',364,2,1,1,0.03,307,0.25681,3.91202,0.567932,2500
'Takoma, Brightwood, Manor Park',38.97455,-77.01403,'Entire home/apt',0,2,0,1,0.03,45,0.244115,8.541653,4.802626,200
'Brightwood Park, Crestwood, Petworth',38.95178,-77.01795,'Private room',0,2,0,1,0.03,1167,0.834482,6.957093,3.235833,75
'Shaw, Logan Circle',38.91071,-77.0228,'Private room',0,2,0,2,0.03,50,0.197126,4.120442,0.785566,90
'Ivy City, Arboretum, Trinidad, Carver Langston',38.9013,-76.98399,'Entire home/apt',0,2,0,1,0.03,613,1.070608,4.430244,2.833626,150
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90048,-77.01628,'Entire home/apt',0,2,0,1,0.03,199,0.302957,3.525928,1.187157,79
'Union Station, Stanton Park, Kingman Park',38.89475,-76.97904,'Private room',0,2,0,1,0.03,102,0.563827,4.280787,3.184632,150
'Fairfax Village, Naylor Gardens, Hillcrest, Summit Park',38.86408,-76.94798,'Entire home/apt',0,1,0,20,0.03,74,0.984532,4.826317,5.573365,134
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93175,-77.03918,'Entire home/apt',0,2,0,1,0.03,37,0.442587,5.496412,1.698255,40
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.899914,-77.03313,'Entire home/apt',356,1,0,13,0.03,358,0.102028,3.308033,0.540986,294
'Congress Heights, Bellevue, Washington Highlands',38.84093,-76.99077,'Private room',287,1,0,2,0.03,475,0.347934,2.603814,5.185213,45
'Dupont Circle, Connecticut Avenue/K Street',38.91428,-77.04064,'Private room',0,1,0,12,0.03,38,0.354505,4.293254,0.527203,85
'North Michigan Park, Michigan Park, University Heights',38.95254,-76.99578,'Private room',89,1,0,2,0.03,83,0.343813,7.277733,3.812725,150
'North Cleveland Park, Forest Hills, Van Ness',38.93948,-77.06067,'Entire home/apt',269,1,0,157,0.03,-1,0.289133,6.150932,2.558921,140
'Shaw, Logan Circle',38.9103,-77.02892,'Entire home/apt',296,1,0,235,0.03,45,0.431467,4.042653,0.473953,173
'Capitol Hill, Lincoln Park',38.88524,-77.00376,'Private room',326,1,0,8,0.03,56,0.074161,2.909295,2.31969,345
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92323,-77.03151,'Entire home/apt',0,1,0,2,0.03,1179,0.323262,4.918912,1.142365,150
'Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights',38.90825,-76.93047,'Private room',0,1,0,1,0.03,62,0.253857,6.87804,5.641255,60
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90316,-77.01607,'Entire home/apt',0,1,0,1,0.03,66,0.383909,3.70491,1.13864,71
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92246,-77.0288,'Private room',0,1,0,2,0.03,69,0.382314,4.877686,1.137093,45
'Union Station, Stanton Park, Kingman Park',38.8954,-76.97637,'Entire home/apt',250,1,0,1,0.03,-1,0.600353,4.414862,3.309798,80
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90927,-76.98492,'Entire home/apt',0,1,0,1,0.03,81,0.97188,4.835816,2.75864,100
'West End, Foggy Bottom, GWU',38.90461,-77.05011,'Entire home/apt',0,1,0,1,0.03,141,0.269541,3.682434,0.722578,65
'Ivy City, Arboretum, Trinidad, Carver Langston',38.91026,-76.98709,'Entire home/apt',0,1,0,1,0.03,-1,0.873456,4.826855,2.64836,150
'Georgetown, Burleith/Hillandale',38.911358,-77.065971,'Entire home/apt',255,1,0,32,0.03,38,1.092445,4.354753,1.567247,260
'Dupont Circle, Connecticut Avenue/K Street',38.9123,-77.03758,'Entire home/apt',0,1,0,1,0.03,52,0.360902,4.153805,0.353741,75
'Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont',38.86847,-76.98236,'Entire home/apt',0,1,0,7,0.03,44,0.787175,3.142851,3.936654,100
'Howard University, Le Droit Park, Cardozo/Shaw',38.91419,-77.01884,'Entire home/apt',0,1,0,1,0.03,38,0.170035,4.399238,1.071829,180
'Dupont Circle, Connecticut Avenue/K Street',38.91338,-77.03488,'Entire home/apt',0,1,0,1,0.03,81,0.464551,4.230955,0.439654,70
'Ivy City, Arboretum, Trinidad, Carver Langston',38.91048,-76.98743,'Entire home/apt',0,1,0,1,0.03,73,0.858529,4.829519,2.63166,51
'Takoma, Brightwood, Manor Park',38.96717,-77.02511,'Private room',218,1,0,8,0.03,64,0.716551,7.967806,4.184845,50
'Brightwood Park, Crestwood, Petworth',38.94379,-77.01365,'Private room',89,1,0,5,0.03,-1,0.67995,6.453706,2.809377,67
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90697,-76.98072,'Private room',0,1,0,2,0.03,185,1.182051,4.84284,2.977582,55
'Kalorama Heights, Adams Morgan, Lanier Heights',38.916821,-77.042776,'Entire home/apt',166,1,0,235,0.03,-1,0.499028,4.473884,0.733303,171
'Shaw, Logan Circle',38.90824,-77.02523,'Entire home/apt',0,1,0,1,0.03,73,0.214906,3.92961,0.622659,67
'Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights',38.88359,-76.89269,'Private room',288,2,0,2,0.03,689,0.231032,5.203903,7.814817,55
'West End, Foggy Bottom, GWU',38.89294,-77.06776,'Entire home/apt',45,1,0,4,0.03,557,0.268493,3.237225,1.908733,107
'Cathedral Heights, McLean Gardens, Glover Park',38.93152,-77.08399,'Entire home/apt',365,15,0,1,0.14,36,1.218926,6.004164,3.007461,325
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.899914,-77.03313,'Entire home/apt',356,15,5,13,0.14,-1,0.102028,3.308033,0.540986,294
'Dupont Circle, Connecticut Avenue/K Street',38.91496,-77.0425,'Private room',78,10,2,46,0.14,53,0.372617,4.344804,0.612198,55
'Brightwood Park, Crestwood, Petworth',38.93712,-77.02311,'Private room',282,13,5,46,0.14,59,0.029075,5.917104,2.190034,35
'Capitol Hill, Lincoln Park',38.88306,-77.00267,'Entire home/apt',28,12,1,1,0.14,74,0.190791,2.830169,2.462866,395
'Brookland, Brentwood, Langdon',38.9195,-76.98467,'Entire home/apt',285,11,0,3,0.14,60,0.606981,5.433839,2.89537,65
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.8998,-77.02437,'Entire home/apt',83,11,0,17,0.14,35,0.165097,3.366238,0.837692,436
'Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace',38.92521,-77.05284,'Private room',344,11,0,2,0.14,56,0.023664,5.108035,1.502664,275
'Kalorama Heights, Adams Morgan, Lanier Heights',38.92705,-77.04258,'Entire home/apt',0,11,0,1,0.14,80,0.534186,5.178021,1.402343,79
'Dupont Circle, Connecticut Avenue/K Street',38.91308,-77.04336,'Entire home/apt',266,11,0,9,0.14,-1,0.239735,4.218311,0.530879,96
'Shaw, Logan Circle',38.90673,-77.03065,'Entire home/apt',3,9,0,17,0.14,159,0.404154,3.787928,0.332834,298
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90712,-76.98868,'Entire home/apt',0,9,0,1,0.14,185,0.760194,4.600173,2.555666,100
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91508,-77.01158,'Entire home/apt',0,8,0,2,0.14,80,0.558654,4.560748,1.447925,400
'Howard University, Le Droit Park, Cardozo/Shaw',38.91561,-77.03228,'Entire home/apt',0,7,0,1,0.14,39,0.271227,4.391585,0.629836,375
'Brookland, Brentwood, Langdon',38.9215,-76.97502,'Private room',0,6,0,3,0.14,-1,1.109119,5.828,3.424853,29
'Union Station, Stanton Park, Kingman Park',38.9076,-77.00471,'Shared room',0,7,0,3,0.14,40,0.097859,4.20971,1.706293,35
'Near Southeast, Navy Yard',38.8775,-77.00223,'Private room',0,7,0,1,0.14,685,0.166766,2.570033,2.752467,150
'Georgetown, Burleith/Hillandale',38.91137,-77.06857,'Entire home/apt',0,7,0,3,0.14,165,1.068662,4.404821,1.702993,165
'Dupont Circle, Connecticut Avenue/K Street',38.91514,-77.0423,'Entire home/apt',0,7,0,1,0.14,797,0.386415,4.356596,0.618111,105
'Shaw, Logan Circle',38.90753,-77.0251,'Entire home/apt',271,3,2,157,0.14,-1,0.184592,3.882505,0.625814,91
'Brightwood Park, Crestwood, Petworth',38.93831,-77.0252,'Private room',300,5,2,46,0.14,-1,0.109804,5.985251,2.234362,39
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.9049,-77.03069,'Entire home/apt',355,5,4,157,0.14,-1,0.291043,3.662079,0.365393,183
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90529,-76.98327,'Entire home/apt',161,5,3,2,0.14,-1,1.053709,4.668062,2.845444,128
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90167,-77.02797,'Private room',36,2,0,4,0.14,1151,0.231068,3.458964,0.607947,239
'West End, Foggy Bottom, GWU',38.90146,-77.0551,'Entire home/apt',284,3,0,157,0.14,37,0.260705,3.528526,1.042745,86
'Kalorama Heights, Adams Morgan, Lanier Heights',38.916821,-77.042776,'Entire home/apt',61,2,1,235,0.14,372,0.499028,4.473884,0.733303,157
'Capitol Hill, Lincoln Park',38.87876,-76.98558,'Entire home/apt',298,3,1,157,0.14,997,0.173318,3.318684,3.353959,72
'Capitol Hill, Lincoln Park',38.87879,-76.98578,'Entire home/apt',349,2,1,157,0.14,74,0.171846,3.311017,3.344154,77
'Capitol Hill, Lincoln Park',38.88748,-76.99922,'Entire home/apt',340,3,1,11,0.14,79,0.260256,3.180915,2.41653,145
'Howard University, Le Droit Park, Cardozo/Shaw',38.91504,-77.02888,'Entire home/apt',283,3,1,156,0.14,135,0.154415,4.367929,0.687978,98
'Capitol Hill, Lincoln Park',38.88032,-76.99928,'Entire home/apt',365,3,1,156,0.14,-1,0.344384,2.817307,2.723135,164
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.89806,-77.00987,'Private room',89,2,1,15,0.14,212,0.131522,3.497412,1.565262,452
'Howard University, Le Droit Park, Cardozo/Shaw',38.91778,-77.02471,'Entire home/apt',0,2,0,1,0.14,-1,0.15703,4.583893,0.974852,165
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93511,-77.03687,'Entire home/apt',0,2,0,1,0.14,949,0.550954,5.727858,1.925791,85
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91467,-77.00339,'Private room',359,1,1,3,0.14,133,0.527933,4.684597,1.849311,150
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.894968,-77.023252,'Entire home/apt',291,1,1,235,0.14,44,0.113986,3.05539,1.111566,208
'Takoma, Brightwood, Manor Park',38.98908,-77.01582,'Private room',64,24,1,2,0.14,1165,0.87307,9.522474,5.759129,40
'Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir',38.90004,-77.08292,'Private room',355,11,1,2,0.14,310,0.69521,4.084933,2.488592,90
'Hawthorne, Barnaby Woods, Chevy Chase',38.97577,-77.06931,'Entire home/apt',365,11,2,2,0.14,36,1.397473,8.696165,5.033496,1495
'Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir',38.88769,-77.09343,'Entire home/apt',314,5,2,157,0.14,66,0.124136,3.84132,3.284628,121
'Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir',38.88899,-77.08668,'Entire home/apt',107,10,0,1,0.14,377,0.085775,3.635773,2.92226,130
'Georgetown, Burleith/Hillandale',38.89459,-77.07084,'Entire home/apt',167,1,1,3,0.14,66,0.096458,3.417759,1.998202,80
'Friendship Heights, American University Park, Tenleytown',38.96582,-77.10666,'Private room',306,13,6,3,0.14,39,1.228314,8.656194,5.479975,69
'Friendship Heights, American University Park, Tenleytown',38.96295,-77.10245,'Entire home/apt',353,1,1,1,0.14,309,0.955235,8.383308,5.183358,94
'Georgetown, Burleith/Hillandale',38.89324,-77.06788,'Entire home/apt',267,2,1,31,0.14,71,0.248454,3.258378,1.903628,70
'Colonial Village, Shepherd Park, North Portal Estates',38.99819,-77.01811,'Private room',209,2,1,2,0.14,63,0.743963,10.133524,6.356802,125
'Georgetown, Burleith/Hillandale',38.89268,-77.07072,'Entire home/apt',350,2,1,31,0.14,990,0.228399,3.302026,2.053455,75
'Georgetown, Burleith/Hillandale',38.89208,-77.06905,'Entire home/apt',205,11,0,5,0.14,529,0.287052,3.220444,1.997969,67
'Hawthorne, Barnaby Woods, Chevy Chase',38.96594,-77.078,'Private room',345,348,25,4,3.56,-1,0.579253,8.140218,4.601335,72
'Historic Anacostia',38.86547,-76.9873,'Private room',0,291,0,2,3.56,78,0.46131,2.825867,3.898892,77
'Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir',38.92637,-77.10271,'Entire home/apt',341,204,49,4,3.56,79,1.977247,6.175322,3.730318,89
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90349,-77.01974,'Entire home/apt',46,203,46,1,3.56,495,0.234245,3.67141,0.94482,132
'Dupont Circle, Connecticut Avenue/K Street',38.9082,-77.04706,'Entire home/apt',170,142,60,1,3.56,40,0.216093,3.902579,0.542883,213
'Dupont Circle, Connecticut Avenue/K Street',38.91315,-77.04348,'Entire home/apt',344,72,49,156,3.56,176,0.244569,4.223586,0.538675,188
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92611,-77.03061,'Entire home/apt',318,23,23,1,3.56,1045,0.158001,5.120485,1.346704,102
'Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont',38.87289,-76.97865,'Entire home/apt',8,23,23,1,3.56,66,0.682741,3.442606,3.890456,95
'Brightwood Park, Crestwood, Petworth',38.94091,-77.0195,'Entire home/apt',159,117,24,1,2.12,731,0.318382,6.20332,2.502136,120
'Howard University, Le Droit Park, Cardozo/Shaw',38.91491,-77.0249,'Entire home/apt',54,156,0,1,2.12,524,0.186328,4.38664,0.829162,158
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92674,-77.02389,'Private room',2,154,0,10,2.12,810,0.465509,5.201888,1.51435,50
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.917244,-77.011879,'Private room',324,140,43,5,2.12,449,0.591739,4.6986,1.496287,70
'Union Station, Stanton Park, Kingman Park',38.90386,-77.00044,'Private room',325,110,18,3,2.12,542,0.257681,4.080969,1.946074,81
'Union Station, Stanton Park, Kingman Park',38.89469,-76.98333,'Entire home/apt',317,34,19,2,2.12,151,0.641868,4.115674,2.967526,239
'Capitol Hill, Lincoln Park',38.88191,-76.99682,'Private room',16,17,17,4,2.12,116,0.192609,2.98738,2.749083,59
'Brightwood Park, Crestwood, Petworth',38.95142,-77.01692,'Private room',349,7,7,15,2.12,439,0.780452,6.940987,3.229714,81
'Howard University, Le Droit Park, Cardozo/Shaw',38.91883,-77.02815,'Entire home/apt',0,8,8,1,2.12,98,0.130232,4.632089,0.926834,266
'Woodland/Fort Stanton, Garfield Heights, Knox Hill',38.83808,-76.95091,'Entire home/apt',150,13,13,1,2.12,255,0.955916,4.700337,6.596709,125
'Brightwood Park, Crestwood, Petworth',38.93671,-77.02897,'Entire home/apt',257,38,6,2,0.52,472,0.296204,5.856384,2.079114,100
'Dupont Circle, Connecticut Avenue/K Street',38.91502,-77.04245,'Entire home/apt',0,48,2,2,0.52,-1,0.377073,4.348782,0.614549,127
'Dupont Circle, Connecticut Avenue/K Street',38.91502,-77.04245,'Entire home/apt',48,50,9,2,0.52,479,0.377073,4.348782,0.614549,104
'Georgetown, Burleith/Hillandale',38.91581,-77.07008,'Entire home/apt',173,34,10,1,0.52,302,1.13415,4.719154,1.85618,93
'Colonial Village, Shepherd Park, North Portal Estates',38.97907,-77.02804,'Entire home/apt',317,32,7,1,0.52,78,0.56172,8.775868,4.981213,135
'Capitol Hill, Lincoln Park',38.8775,-76.98734,'Shared room',358,31,12,33,0.52,310,0.277922,3.192921,3.331528,25
'Near Southeast, Navy Yard',38.87715,-76.98889,'Shared room',340,31,12,33,0.52,45,0.336428,3.111097,3.282351,25
'Mayfair, Hillbrook, Mahaning Heights',38.8943,-76.94136,'Private room',87,31,3,3,0.52,40,0.278441,5.877788,5.141257,56
'Shaw, Logan Circle',38.90899,-77.03348,'Entire home/apt',0,26,0,1,0.52,80,0.517549,3.931768,0.21934,75
'Capitol Hill, Lincoln Park',38.87928,-76.98406,'Entire home/apt',0,22,0,1,0.52,445,0.157097,3.405656,3.399152,72
'Friendship Heights, American University Park, Tenleytown',38.94486,-77.07235,'Private room',290,20,4,2,0.52,1159,0.472623,6.658736,3.206632,82
'Dupont Circle, Connecticut Avenue/K Street',38.91175,-77.04054,'Entire home/apt',0,20,0,1,0.52,45,0.212445,4.118607,0.368487,125
'Shaw, Logan Circle',38.90769,-77.02305,'Private room',25,10,7,39,0.52,459,0.104845,3.913477,0.734828,103
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92043,-77.03173,'Private room',0,10,0,1,0.52,51,0.325553,4.725365,0.953107,40
'Capitol Hill, Lincoln Park',38.88689,-77.00341,'Entire home/apt',57,8,6,10,0.52,255,0.155528,3.010765,2.261507,221
'Dupont Circle, Connecticut Avenue/K Street',38.9022,-77.03747,'Entire home/apt',220,1,1,20,0.52,50,0.137339,3.456921,0.34632,595
'Brightwood Park, Crestwood, Petworth',38.95185,-77.02494,'Entire home/apt',274,5,5,1,0.52,62,0.9972,6.915879,3.145384,125
'Takoma, Brightwood, Manor Park',38.98321,-77.012,'Private room',193,54,0,4,0.52,49,0.590637,9.148534,5.408177,35
'Friendship Heights, American University Park, Tenleytown',38.95462,-77.09742,'Entire home/apt',290,2,2,2,0.52,36,0.73921,7.749776,4.581953,95
'Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace',38.92879,-77.05345,'Entire home/apt',364,45,0,1,0.52,-1,0.26087,5.357071,1.728765,109
'Capitol View, Marshall Heights, Benning Heights',38.89094,-76.93638,'Entire home/apt',308,137,14,1,1.07,948,0.105361,6.001412,5.444414,75
'Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights',38.90151,-76.93816,'Entire home/apt',336,65,21,1,1.07,41,0.482387,6.281222,5.247927,89
'Brightwood Park, Crestwood, Petworth',38.939,-77.01885,'Private room',364,56,0,1,1.07,950,0.267077,6.078733,2.393678,150
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90234,-76.98173,'Entire home/apt',317,18,13,10,1.07,396,1.105676,4.562421,2.943176,130
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90132,-77.01846,'Entire home/apt',217,20,15,2,1.07,58,0.276226,3.545919,1.058189,352
'Congress Heights, Bellevue, Washington Highlands',38.82338,-77.00711,'Private room',356,8,8,1,1.07,690,1.826439,2.560284,5.995217,45
'Brookland, Brentwood, Langdon',38.93629,-76.97744,'Entire home/apt',318,4,4,2,1.07,110,0.930568,6.629101,3.73632,71
'Dupont Circle, Connecticut Avenue/K Street',38.90902,-77.04177,'Entire home/apt',19,6,6,1,1.07,74,0.09618,3.933408,0.287039,289
'Woodridge, Fort Lincoln, Gateway',38.94981,-76.95691,'Entire home/apt',197,46,12,2,1.07,941,0.762545,7.986706,5.159189,45
'Capitol Hill, Lincoln Park',38.88408,-77.0035,'Entire home/apt',168,149,15,1,1.16,44,0.110633,2.855541,2.382966,175
'Shaw, Logan Circle',38.90987,-77.02368,'Shared room',119,75,8,15,1.16,830,0.254159,4.054767,0.724476,54
'Union Station, Stanton Park, Kingman Park',38.89453,-76.97871,'Entire home/apt',0,42,15,1,1.16,54,0.54589,4.283115,3.205584,79
'Cathedral Heights, McLean Gardens, Glover Park',38.91925,-77.07262,'Entire home/apt',0,37,9,1,1.16,821,1.143979,4.989372,2.067695,100
'Capitol Hill, Lincoln Park',38.89123,-76.9948,'Entire home/apt',343,19,16,5,1.16,37,0.459841,3.529706,2.488564,118
'Congress Heights, Bellevue, Washington Highlands',38.84358,-77.0001,'Entire home/apt',30,14,14,3,1.16,419,0.630683,2.077552,4.803564,102
'Georgetown, Burleith/Hillandale',38.90792,-77.05529,'Entire home/apt',85,5,5,1,1.16,64,0.564173,3.962839,0.975935,705
'Capitol Hill, Lincoln Park',38.89099,-76.99458,'Entire home/apt',0,260,10,1,2.05,-1,0.445274,3.524604,2.50637,175
'Union Station, Stanton Park, Kingman Park',38.90465,-76.99915,'Entire home/apt',149,79,30,79,2.05,-1,0.262606,4.16189,2.008472,90
'Howard University, Le Droit Park, Cardozo/Shaw',38.91509,-77.02186,'Entire home/apt',84,21,21,15,2.05,141,0.110805,4.426617,0.965289,237
'Union Station, Stanton Park, Kingman Park',38.89311,-76.99104,'Entire home/apt',255,15,15,1,2.05,123,0.641531,3.757924,2.617807,130
'Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir',38.89641,-77.10338,'Entire home/apt',353,48,20,3,2.05,-1,0.791682,4.633183,3.601239,122
'Brightwood Park, Crestwood, Petworth',38.94334,-77.01426,'Entire home/apt',66,165,19,1,2.22,152,0.635227,6.416934,2.767336,90
