@relation 'dc_listings - full-weka.filters.unsupervised.attribute.Remove-R1-5,10-18,22-30,32-34-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute neighbourhood_cleansed {'Historic Anacostia','Cathedral Heights, McLean Gardens, Glover Park','Edgewood, Bloomingdale, Truxton Circle, Eckington','Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View','River Terrace, Benning, Greenway, Dupont Park','Fairfax Village, Naylor Gardens, Hillcrest, Summit Park','Near Southeast, Navy Yard','Dupont Circle, Connecticut Avenue/K Street','Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill','Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir','Takoma, Brightwood, Manor Park','Friendship Heights, American University Park, Tenleytown','Brightwood Park, Crestwood, Petworth','Colonial Village, Shepherd Park, North Portal Estates','Georgetown, Burleith/Hillandale','Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace','Capitol Hill, Lincoln Park','Ivy City, Arboretum, Trinidad, Carver Langston','Shaw, Logan Circle','Union Station, Stanton Park, Kingman Park','Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street','Howard University, Le Droit Park, Cardozo/Shaw','Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights','North Michigan Park, Michigan Park, University Heights','North Cleveland Park, Forest Hills, Van Ness','Douglas, Shipley Terrace','West End, Foggy Bottom, GWU','Congress Heights, Bellevue, Washington Highlands','Kalorama Heights, Adams Morgan, Lanier Heights','Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point','Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont','Woodridge, Fort Lincoln, Gateway','Mayfair, Hillbrook, Mahaning Heights','Eastland Gardens, Kenilworth','Brookland, Brentwood, Langdon','Capitol View, Marshall Heights, Benning Heights','Hawthorne, Barnaby Woods, Chevy Chase','Woodland/Fort Stanton, Garfield Heights, Knox Hill','Sheridan, Barry Farm, Buena Vista'}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute calculated_host_listings_count numeric
@attribute reviews_per_month numeric
@attribute days_since_last_review numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Union Station, Stanton Park, Kingman Park',38.90595,-77.0088,'Entire home/apt',0,4,0,1,0.12,1521,0.315035,4.018914,1.491795,80
'Ivy City, Arboretum, Trinidad, Carver Langston',38.909,-76.98662,'Entire home/apt',79,4,0,1,0.12,37,0.879972,4.768915,2.667733,115
'West End, Foggy Bottom, GWU',38.89983,-77.05151,'Entire home/apt',246,3,2,1,0.12,107,0.088889,3.373758,0.926385,180
'West End, Foggy Bottom, GWU',38.90137,-77.0558,'Entire home/apt',340,3,1,157,0.12,94,0.296126,3.532428,1.079455,91
'West End, Foggy Bottom, GWU',38.90145,-77.05615,'Entire home/apt',319,3,1,157,0.12,2288,0.315318,3.542816,1.094678,162
'West End, Foggy Bottom, GWU',38.89945,-77.05435,'Entire home/apt',340,2,1,157,0.12,382,0.232461,3.384268,1.068319,91
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90172,-76.98676,'Private room',362,1,1,63,0.12,67,0.936404,4.360096,2.684186,65
'Brightwood Park, Crestwood, Petworth',38.95754,-77.02515,'Entire home/apt',0,3,0,1,0.12,118,1.277776,7.305688,3.528844,200
'Historic Anacostia',38.86514,-76.98792,'Entire home/apt',200,3,0,2,0.12,38,0.422413,2.787394,3.893754,95
'Dupont Circle, Connecticut Avenue/K Street',38.91173,-77.03802,'Entire home/apt',359,2,1,156,0.12,1921,0.321388,4.114506,0.318157,108
'Congress Heights, Bellevue, Washington Highlands',38.82462,-76.99695,'Private room',90,2,1,3,0.12,144,1.519408,2.873866,6.078701,44
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92651,-77.03434,'Entire home/apt',257,1,1,1,0.12,959,0.132102,5.137372,1.33928,128
'Georgetown, Burleith/Hillandale',38.90787,-77.05779,'Entire home/apt',0,1,1,32,0.12,72,0.634657,3.992766,1.108135,316
'Friendship Heights, American University Park, Tenleytown',38.956799,-77.081337,'Entire home/apt',82,1,1,32,0.12,69,0.268646,7.585454,4.154411,267
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93164,-77.02089,'Entire home/apt',117,1,1,1,0.12,92,0.422957,5.560078,1.887806,226
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93306,-77.0241,'Entire home/apt',364,1,1,1,0.12,41,0.304265,5.632531,1.908951,110
'Cathedral Heights, McLean Gardens, Glover Park',38.93064,-77.0777,'Entire home/apt',80,1,1,3,0.12,38,1.080011,5.819231,2.700338,55
'Union Station, Stanton Park, Kingman Park',38.90029,-76.98546,'Private room',0,1,1,1,0.12,66,1.036268,4.32681,2.767697,188
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93346,-77.03116,'Private room',345,1,1,1,0.12,-1,0.394369,5.624521,1.837301,70
'Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill',38.97782,-77.00108,'Private room',256,10,0,1,0.12,165,0.914107,8.889117,5.229544,60
'Congress Heights, Bellevue, Washington Highlands',38.81623,-76.99623,'Private room',180,5,0,1,0.12,94,2.050016,3.309967,6.636722,32
'Georgetown, Burleith/Hillandale',38.89355,-77.07074,'Entire home/apt',279,6,0,2,0.12,1319,0.168389,3.353634,2.025783,68
'Georgetown, Burleith/Hillandale',38.89409,-77.06991,'Entire home/apt',242,8,1,4,0.12,141,0.141228,3.362921,1.969553,72
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91195,-77.00456,'Private room',298,443,9,4,2.73,57,0.349523,4.48759,1.745074,75
'Ivy City, Arboretum, Trinidad, Carver Langston',38.906966,-76.983626,'Private room',342,6,6,11,2.73,133,1.028011,4.748084,2.823544,41
'Howard University, Le Droit Park, Cardozo/Shaw',38.914748,-77.023078,'Entire home/apt',355,5,5,15,2.73,548,0.106767,4.391573,0.898817,234
'Kalorama Heights, Adams Morgan, Lanier Heights',38.925585,-77.039717,'Entire home/apt',338,3,3,1,2.73,61,0.410428,5.071622,1.27735,120
'Union Station, Stanton Park, Kingman Park',38.897575,-76.988345,'Entire home/apt',347,3,3,1,2.73,149,0.957649,4.085012,2.657723,206
'Brightwood Park, Crestwood, Petworth',38.954919,-77.024978,'Entire home/apt',100,6,6,1,2.73,143,1.208585,7.126495,3.352721,111
'Brightwood Park, Crestwood, Petworth',38.944556,-77.017037,'Entire home/apt',248,3,3,1,2.73,65,0.597446,6.472779,2.78428,120
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.89898,-77.01629,'Entire home/apt',90,69,22,1,0.59,66,0.199721,3.427924,1.230804,250
'Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill',38.95345,-76.99504,'Entire home/apt',240,43,12,1,0.59,1018,0.395398,7.349521,3.886666,107
'Takoma, Brightwood, Manor Park',38.96614,-77.0319,'Entire home/apt',110,53,2,2,0.59,1104,0.999921,7.874756,4.075485,60
'Brightwood Park, Crestwood, Petworth',38.95877,-77.02372,'Entire home/apt',276,24,6,1,0.59,367,1.230388,7.397415,3.626247,75
'Dupont Circle, Connecticut Avenue/K Street',38.91435,-77.04064,'Entire home/apt',133,50,3,12,0.59,94,0.358904,4.298081,0.531682,200
'Cathedral Heights, McLean Gardens, Glover Park',38.92378,-77.0736,'Entire home/apt',332,50,13,2,0.59,44,1.12017,5.299339,2.256589,1141
'Capitol Hill, Lincoln Park',38.88458,-76.9825,'Private room',0,1,1,2,0.59,52,0.278153,3.685217,3.278548,76
'Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point',38.88118,-77.01748,'Private room',0,46,0,1,0.59,1088,0.282306,2.274695,2.069484,88
'Kalorama Heights, Adams Morgan, Lanier Heights',38.92098,-77.04261,'Entire home/apt',0,44,0,1,0.59,51,0.592354,4.759848,0.997819,95
'Takoma, Brightwood, Manor Park',38.95775,-77.0149,'Private room',319,32,6,6,0.59,101,0.786228,7.3893,3.677683,47
'Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill',38.95556,-76.99173,'Entire home/apt',0,16,1,1,0.59,1200,0.611236,7.543005,4.106797,100
'Dupont Circle, Connecticut Avenue/K Street',38.91471,-77.03716,'Entire home/apt',106,13,7,3,0.59,38,0.483731,4.320184,0.518373,101
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90557,-76.98788,'Entire home/apt',70,11,10,2,0.59,64,0.808811,4.536858,2.600493,150
'Dupont Circle, Connecticut Avenue/K Street',38.91454,-77.03559,'Entire home/apt',85,7,7,5,0.59,452,0.461495,4.309807,0.511197,101
'Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont',38.87049,-76.97482,'Private room',350,7,7,2,0.59,-1,0.934684,3.565889,4.152315,95
'Woodridge, Fort Lincoln, Gateway',38.93605,-76.95495,'Private room',68,68,1,1,0.59,42,1.52299,7.265469,4.7778,45
'Dupont Circle, Connecticut Avenue/K Street',38.907833,-77.045673,'Private room',134,464,55,4,3.99,71,0.171074,3.868742,0.467022,113
