@relation 'chicago_listings - cleaned-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute number_of_reviews numeric
@attribute reviews_per_month string
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute days_since_last_review numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Entire home/apt',34,1.32,1,336,25,58,10.649828,0.233926,6.302555,120
'Entire home/apt',51,2.03,19,339,30,65,9.31009,0.668254,4.938583,128
'Private room',16,0.64,1,359,6,43,12.620295,0.518662,7.654169,94
'Entire home/apt',50,2.03,2,155,24,142,11.468358,0.267437,3.772729,371
'Entire home/apt',53,2.07,2,139,24,39,10.666473,0.688981,6.992098,79
'Entire home/apt',35,2.19,1,132,22,70,7.559834,0.48718,1.99735,331
'Entire home/apt',0,NA,1,250,0,-1,8.715256,0.334961,1.101418,148
'Entire home/apt',0,NA,525,130,0,-1,9.220356,0.012774,0.073958,149
'Entire home/apt',3,0.13,525,317,0,542,9.220356,0.012774,0.073958,137
'Entire home/apt',1,1,525,297,1,53,9.220356,0.012774,0.073958,143
'Entire home/apt',1,0.24,525,278,1,157,9.220356,0.012774,0.073958,143
'Entire home/apt',1,0.06,525,311,0,567,10.145615,0.147772,2.409433,117
'Entire home/apt',0,NA,525,176,0,-1,10.145615,0.147772,2.409433,144
'Entire home/apt',0,NA,1,0,0,-1,10.401769,0.575221,1.191384,299
'Entire home/apt',111,4.38,2,334,54,44,7.420113,0.298783,1.840129,214
'Private room',5,0.19,49,0,0,527,6.973028,0.370423,3.982576,28
'Entire home/apt',25,1.04,1,44,5,344,12.942008,0.423777,5.318796,97
'Entire home/apt',3,0.12,1,0,0,627,11.994289,0.637048,4.055327,70
'Entire home/apt',0,NA,8,345,0,-1,4.439558,0.497873,4.862615,69
'Entire home/apt',4,0.29,3,88,3,67,10.7379,0.123963,6.283355,112
'Entire home/apt',118,4.66,1,109,77,38,10.418359,0.189909,5.720612,71
'Private room',0,NA,9,270,0,-1,6.550428,0.325652,6.078671,38
'Entire home/apt',40,1.58,7,0,0,440,12.233353,0.124796,4.835886,99
'Private room',16,0.63,1,0,0,737,11.928597,0.074875,6.806115,28
'Private room',59,2.33,4,250,30,205,7.662568,0.689122,7.924543,69
'Entire home/apt',76,3.49,8,150,47,37,12.342334,0.249768,5.100063,301
'Entire home/apt',0,NA,525,232,0,-1,10.58768,0.414648,1.500153,190
'Entire home/apt',0,NA,525,316,0,-1,10.58768,0.414648,1.500153,210
'Entire home/apt',2,0.11,525,0,0,527,9.750433,0.081862,0.56263,306
'Entire home/apt',0,NA,525,290,0,-1,10.145615,0.147772,2.409433,123
'Entire home/apt',2,0.08,525,265,0,627,9.750433,0.081862,0.56263,155
'Entire home/apt',0,NA,525,346,0,-1,9.750433,0.081862,0.56263,141
'Entire home/apt',1,0.18,525,333,1,197,9.750433,0.081862,0.56263,187
'Entire home/apt',0,NA,525,49,0,-1,9.220356,0.012774,0.073958,257
'Entire home/apt',0,NA,525,257,0,-1,9.750433,0.081862,0.56263,246
'Entire home/apt',1,0.18,525,231,1,200,8.904973,0.023596,0.747238,130
'Entire home/apt',101,3.95,3,238,59,52,9.345192,0.408824,5.878019,100
'Entire home/apt',0,NA,525,312,0,-1,8.904973,0.023596,0.747238,133
'Entire home/apt',3,0.13,525,316,1,160,8.904973,0.023596,0.747238,123
'Entire home/apt',4,0.16,9,344,2,80,10.331016,0.544095,1.116963,249
'Entire home/apt',7,2.23,2,334,7,55,7.202147,0.295907,4.663287,543
'Entire home/apt',47,1.9,1,360,32,40,4.792761,1.115528,10.423847,163
'Entire home/apt',26,1.14,2,338,5,121,7.289941,0.432967,1.974289,278
'Private room',34,1.34,4,354,18,59,7.746685,0.757225,7.905022,61
'Entire home/apt',52,2.1,1,50,32,43,11.292208,1.3259,8.884842,110
'Entire home/apt',50,2.95,1,48,34,143,6.275291,0.667779,3.323358,87
'Entire home/apt',2,0.22,525,277,2,156,9.220356,0.012774,0.073958,192
'Entire home/apt',1,0.29,4,297,1,137,9.386568,0.509337,7.713238,116
'Private room',3,0.25,2,348,3,350,4.900603,0.141491,5.308309,45
'Private room',17,0.69,3,243,8,43,6.967172,0.393909,9.6533,104
'Entire home/apt',14,0.6,2,1,7,79,8.203584,0.724567,4.295855,182
'Entire home/apt',47,1.94,1,291,20,51,8.438593,0.322562,8.715575,65
'Private room',2,0.08,2,0,0,505,10.270199,0.508323,9.100399,37
'Entire home/apt',69,2.87,1,208,36,38,8.664873,1.354772,5.044611,136
'Entire home/apt',52,2.09,6,20,19,55,9.146219,0.976021,5.167318,219
'Entire home/apt',6,0.25,6,365,1,374,10.240236,0.399548,5.058499,564
'Private room',0,NA,1,0,0,-1,9.914085,0.483236,5.961777,50
'Entire home/apt',18,1.18,6,359,7,45,10.992631,0.786304,6.727551,707
'Entire home/apt',70,2.99,1,344,33,44,9.074311,0.794447,4.527514,214
'Entire home/apt',24,1.01,1,133,13,115,9.009051,0.195165,1.2062,120
'Entire home/apt',19,0.89,3,356,14,37,10.759456,0.704996,6.854086,206
'Entire home/apt',36,1.48,1,165,18,93,7.886229,0.336385,2.088416,207
'Entire home/apt',17,0.77,1,54,16,54,6.751261,0.724438,3.019146,156
'Entire home/apt',9,0.37,2,158,1,394,7.898999,0.313735,4.176041,120
'Entire home/apt',23,2.08,2,52,23,57,8.885483,0.824683,5.712859,328
'Entire home/apt',1,0.08,525,314,1,395,9.220356,0.012774,0.073958,229
'Private room',55,2.25,6,332,34,50,10.781425,0.389673,6.530028,46
'Private room',11,0.62,3,175,10,107,5.95054,0.440841,3.297372,75
'Private room',36,1.58,3,242,28,52,5.999645,0.295721,3.273939,51
'Entire home/apt',87,3.61,2,161,46,58,13.031686,0.310856,5.535465,148
'Private room',4,0.23,15,337,3,68,7.891764,0.237909,6.610328,46
'Private room',7,0.29,6,256,0,656,6.952425,1.356486,9.589782,69
'Private room',32,1.31,6,361,16,59,6.984056,1.465038,9.563821,71
'Private room',37,1.52,6,359,13,58,6.942559,1.34648,9.599298,68
'Private room',56,2.41,6,347,26,51,6.876652,1.439154,9.67014,84
'Private room',32,1.83,6,358,15,143,6.975316,1.506401,9.575595,74
'Private room',5,0.38,49,0,2,374,6.842175,0.23682,4.078749,74
'Entire home/apt',51,3.36,1,89,36,52,11.078907,0.93289,5.225843,94
'Entire home/apt',45,1.86,1,307,26,44,10.76876,0.703901,5.435772,618
'Entire home/apt',14,0.7,1,315,8,51,7.94475,0.330128,1.99852,105
'Entire home/apt',53,2.3,2,342,34,52,7.956862,0.421477,4.032822,136
'Entire home/apt',47,2.63,2,248,31,38,7.356565,0.428071,7.869325,370
'Private room',16,0.66,7,40,9,36,10.427833,1.680343,9.160753,57
'Entire home/apt',46,2.02,2,341,32,37,8.565243,0.708823,2.854256,276
'Entire home/apt',58,2.45,1,28,42,38,9.630433,0.21224,4.301796,195
'Entire home/apt',37,1.56,1,353,19,44,3.090988,1.782886,7.90229,99
'Entire home/apt',44,2.5,2,331,27,59,11.929698,0.376238,4.177885,235
'Entire home/apt',5,0.24,1,0,3,97,11.049112,0.935709,8.053964,80
'Entire home/apt',10,0.43,2,0,0,549,13.253622,0.175394,9.861325,50
'Private room',26,1.08,7,37,1,44,10.393433,1.663221,9.160729,39
'Entire home/apt',97,4.1,1,134,58,48,6.79763,0.315451,2.4399,126
'Entire home/apt',1,0.04,1,0,0,701,9.534743,0.217582,3.223681,100
'Entire home/apt',0,NA,525,347,0,-1,9.914278,0.128053,1.150537,187
'Entire home/apt',0,NA,525,185,0,-1,9.914278,0.128053,1.150537,218
'Private room',213,8.8,10,56,117,46,12.252923,0.310592,4.66971,89
'Entire home/apt',3,0.2,2,0,1,71,12.693444,0.366456,8.480432,200
'Entire home/apt',0,NA,1,160,0,-1,9.73094,0.169217,4.815957,10
'Entire home/apt',39,2.1,1,171,20,79,8.174234,0.991227,5.944774,164
'Entire home/apt',4,0.23,31,299,2,64,11.534374,0.383089,4.603353,90
'Private room',216,9.36,10,59,143,45,12.286239,0.292554,4.700955,128
'Entire home/apt',52,2.26,2,324,39,45,7.899074,0.377391,3.345361,111
'Entire home/apt',84,3.6,1,360,48,55,9.554436,0.100613,3.570859,258
'Entire home/apt',62,2.7,1,71,31,37,8.70251,0.699976,2.912965,217
'Entire home/apt',0,NA,1,222,0,-1,9.028606,0.32678,2.717789,199
'Entire home/apt',2,0.11,525,351,1,152,10.58768,0.414648,1.500153,208
'Entire home/apt',21,0.94,1,317,13,57,13.444544,0.259997,9.082843,590
'Private room',7,0.32,7,330,5,45,9.147438,0.245538,8.298077,44
'Entire home/apt',38,1.69,4,18,10,41,10.710803,0.87081,4.947471,131
'Entire home/apt',14,1.35,1,134,14,221,7.417749,0.322747,9.951547,275
'Entire home/apt',27,2.37,1,131,27,52,12.637197,0.801899,7.355658,274
'Entire home/apt',7,0.44,1,0,2,360,6.30174,0.273116,4.682259,265
'Entire home/apt',13,0.56,2,0,0,431,2.187419,0.828198,7.088719,60
'Private room',199,8.4,10,31,142,45,12.344818,0.297359,4.737602,90
'Entire home/apt',35,1.49,1,186,19,57,8.26083,0.359919,1.722285,170
'Entire home/apt',19,0.81,1,335,16,66,6.382931,0.677442,3.202194,140
'Entire home/apt',16,0.77,1,104,14,37,9.899843,0.245608,6.288898,144
'Entire home/apt',59,4.85,1,147,59,43,10.549227,0.40529,6.323469,110
'Entire home/apt',44,2.5,1,68,37,43,9.732154,0.427624,6.6587,124
'Private room',61,3.41,1,329,39,37,11.862155,0.566774,3.960788,84
'Entire home/apt',51,2.47,3,81,32,38,12.964371,0.244884,9.302666,145
'Entire home/apt',8,3.58,25,361,8,47,13.056082,0.335183,5.551667,177
'Entire home/apt',1,0.07,31,337,0,445,10.626641,0.424797,1.560836,120
'Entire home/apt',1,0.09,31,335,1,361,10.568039,0.423514,1.462774,105
'Entire home/apt',2,0.11,31,352,0,418,10.491499,0.339372,1.407459,99
'Entire home/apt',12,0.53,1,3,6,164,9.152193,0.122798,0.614028,140
'Entire home/apt',33,2.26,27,86,28,59,8.102885,0.20429,1.274923,150
'Entire home/apt',32,1.45,27,93,18,62,8.049447,0.309262,1.278577,150
'Private room',28,1.29,2,152,22,59,5.090717,0.256453,12.356856,40
'Entire home/apt',24,1.44,1,161,16,52,13.335622,0.137991,9.280845,128
'Entire home/apt',41,1.76,2,309,24,46,9.671526,0.223554,3.368562,100
'Entire home/apt',35,1.61,27,164,26,58,8.139931,0.190033,1.233906,150
'Entire home/apt',50,2.6,8,241,29,52,12.122524,0.234452,4.770824,400
'Private room',16,0.73,1,141,14,46,12.924917,0.410196,6.726796,99
'Entire home/apt',13,1.12,1,175,13,58,7.639593,0.421929,7.230344,200
'Entire home/apt',118,5.29,1,55,58,44,10.320777,0.242495,6.730382,175
'Entire home/apt',27,1.29,2,276,15,79,7.921451,0.483361,3.479017,125
'Entire home/apt',0,NA,525,0,0,-1,9.914278,0.128053,1.150537,388
'Entire home/apt',0,NA,525,19,0,-1,9.914278,0.128053,1.150537,565
'Private room',9,0.55,5,0,6,346,13.602194,0.200127,8.036071,125
'Entire home/apt',82,6.67,1,39,81,37,9.836447,0.212445,4.30969,182
'Entire home/apt',65,3.26,3,286,58,37,8.778469,0.441677,1.966579,228
'Private room',14,0.67,27,79,13,52,8.056763,0.295981,1.276649,60
'Entire home/apt',31,1.5,27,174,21,54,8.058391,0.223001,1.332747,150
'Entire home/apt',46,2.13,1,1,24,44,9.534487,0.791153,8.990693,198
'Entire home/apt',55,2.5,27,54,40,54,7.731892,0.492211,1.61637,175
'Entire home/apt',18,0.8,27,94,12,78,7.79995,0.486128,1.533312,150
'Entire home/apt',40,1.92,27,169,28,59,7.734525,0.490177,1.614044,150
'Entire home/apt',27,1.21,27,352,9,57,7.69681,0.577664,1.616642,150
'Entire home/apt',29,1.49,27,178,20,79,7.734411,0.576159,1.568388,150
'Private room',2,0.26,18,109,2,202,6.912921,0.477181,5.321765,45
'Entire home/apt',6,0.29,35,317,3,48,7.452432,0.320816,2.846978,67
'Entire home/apt',119,5.12,1,0,68,59,8.897142,0.093332,0.833781,110
'Entire home/apt',3,0.26,18,60,3,251,10.212196,0.051276,1.242801,97
'Entire home/apt',2,0.58,18,48,2,102,10.208893,0.174278,1.171765,95
'Entire home/apt',2,0.22,18,42,2,116,10.25464,0.088237,1.259861,95
'Private room',43,1.86,5,356,16,59,6.158992,0.148401,5.376903,85
'Entire home/apt',34,1.67,1,353,20,58,10.108327,0.258476,5.856193,707
'Private room',92,3.95,5,359,36,59,6.059334,0.182747,5.272409,86
'Entire home/apt',79,3.44,1,328,43,52,10.72765,0.172742,2.29269,278
'Entire home/apt',48,2.42,27,181,32,60,7.900773,0.418181,1.42038,150
'Entire home/apt',110,4.83,1,328,61,44,8.682231,0.747706,3.26042,278
'Entire home/apt',11,0.69,27,75,8,142,8.074664,0.270429,1.268356,150
'Entire home/apt',1,1,25,355,1,37,12.98539,0.238732,5.547111,142
'Private room',27,1.24,5,359,21,53,6.131478,0.110191,5.278607,86
'Entire home/apt',5,0.34,1,358,4,81,7.88385,0.287772,7.106121,133
'Entire home/apt',1,0.05,1,338,0,628,8.211476,0.737462,4.031894,300
'Entire home/apt',35,1.7,27,236,23,52,8.122729,0.219546,1.237213,150
'Entire home/apt',39,1.82,27,73,31,59,7.665388,0.567353,1.662495,175
'Entire home/apt',7,3.44,25,350,7,58,12.933593,0.209556,5.476766,166
'Entire home/apt',13,3.31,25,221,13,38,12.957228,0.284945,5.439716,142
'Entire home/apt',83,3.61,3,263,38,44,9.089103,1.083792,13.011077,350
'Entire home/apt',38,2.45,1,153,30,38,9.821959,0.619855,7.106354,115
'Private room',20,1.61,27,63,19,50,8.044416,0.242501,1.336596,61
'Entire home/apt',2,0.09,525,271,1,398,10.145615,0.147772,2.409433,117
'Entire home/apt',0,NA,525,282,0,-1,10.145615,0.147772,2.409433,133
'Entire home/apt',90,4.12,1,79,49,49,12.165233,0.258922,4.575811,308
'Private room',28,1.47,27,126,17,89,8.005558,0.361966,1.30681,60
'Entire home/apt',30,1.38,27,81,14,58,7.779585,0.416903,1.59917,150
'Entire home/apt',18,0.81,27,51,13,50,7.651446,0.579894,1.674282,150
'Private room',0,NA,1,0,0,-1,6.106542,0.436929,3.637101,50
'Entire home/apt',0,NA,525,156,0,-1,10.145615,0.147772,2.409433,137
'Entire home/apt',8,0.37,24,360,1,254,7.411122,0.413742,7.73954,159
'Entire home/apt',3,0.14,2,271,2,152,12.139096,0.227841,4.823562,65
'Entire home/apt',31,1.45,4,263,12,116,8.275994,0.4108,7.259016,118
'Entire home/apt',66,3.01,1,2,34,55,10.363521,0.508685,5.181954,196
'Entire home/apt',19,0.87,1,23,11,53,10.228574,0.573732,6.415434,161
'Shared room',23,1.04,24,365,5,291,7.293947,0.302054,7.71025,372
'Entire home/apt',48,2.11,3,0,32,61,13.420082,0.127393,6.342796,97
'Entire home/apt',49,2.14,3,0,21,52,13.318554,0.155239,6.453912,111
'Entire home/apt',58,2.58,3,0,29,53,13.382434,0.084186,6.465489,121
'Entire home/apt',13,0.62,3,355,8,77,8.561369,0.932397,5.879158,171
'Entire home/apt',52,2.3,1,327,37,39,9.508632,0.36282,4.61013,545
'Entire home/apt',57,2.53,6,141,35,38,12.80138,0.131029,5.518582,116
'Entire home/apt',30,3.17,1,121,30,72,9.228216,0.124582,2.654633,160
'Private room',20,0.91,27,34,15,61,8.103591,0.265412,1.234553,80
'Private room',206,9.09,10,49,132,49,12.344802,0.297354,4.737593,93
'Private room',29,1.47,6,324,13,50,10.726864,0.374382,6.619765,58
'Private room',36,1.73,6,339,27,58,10.660232,0.264101,6.6098,57
'Private room',48,2.13,6,337,31,56,10.638215,0.300432,6.688748,45
'Private room',26,1.3,5,226,15,275,6.342524,0.403247,3.066189,45
'Entire home/apt',48,2.38,6,152,31,51,12.830558,0.112468,5.516141,128
'Shared room',0,NA,4,0,0,-1,8.317776,0.500137,2.932799,250
'Private room',15,0.71,2,151,4,54,5.183088,0.163654,12.262026,41
'Entire home/apt',18,0.88,2,156,5,290,10.512956,0.262207,2.488394,226
'Entire home/apt',47,2.23,57,314,20,51,9.278513,0.10714,1.748813,178
'Entire home/apt',25,1.12,1,79,14,44,8.498631,0.680752,4.575945,150
'Entire home/apt',15,0.72,2,355,11,44,11.942269,0.754988,8.735695,73
'Entire home/apt',1,0.06,1,0,0,567,10.014751,0.574303,7.787399,100
'Private room',14,0.74,1,71,9,37,7.668706,0.483023,2.962371,65
'Entire home/apt',49,2.3,1,359,28,55,8.619516,0.922226,3.852046,175
'Entire home/apt',103,4.67,1,97,61,53,10.480581,0.140816,2.327446,126
'Entire home/apt',19,2.39,1,135,19,44,10.884841,0.162402,9.429307,399
'Shared room',4,0.2,17,0,2,105,12.134879,0.798127,10.062609,27
'Private room',6,0.45,5,173,5,100,9.627395,0.546797,7.939416,78
'Private room',13,0.7,5,176,10,44,9.554083,0.582637,8.014187,70
'Entire home/apt',8,0.54,12,354,7,81,5.220134,0.124801,4.929956,164
'Entire home/apt',73,3.36,12,46,36,54,10.694278,0.332166,2.125827,400
'Entire home/apt',7,0.41,1,304,2,100,9.652292,0.285941,6.503857,241
'Entire home/apt',36,1.68,3,0,21,65,6.068469,0.143147,3.320883,48
'Entire home/apt',7,0.44,6,79,4,73,12.462571,0.096372,5.040524,936
'Entire home/apt',52,2.39,1,129,31,37,12.284509,0.143038,6.809629,148
'Entire home/apt',1,0.05,2,0,0,633,9.19588,0.465273,3.759729,49
'Entire home/apt',43,2.03,12,82,26,54,13.025435,0.283155,5.565837,115
'Entire home/apt',0,NA,1,0,0,-1,9.491139,0.492752,4.942521,100
'Entire home/apt',4,3.24,4,15,4,39,9.126497,0.772976,4.75283,61
'Private room',0,NA,1,0,0,-1,8.404735,0.201965,2.608637,90
'Private room',5,0.31,5,100,2,82,13.434646,0.046256,8.685834,175
'Entire home/apt',35,1.66,1,42,22,108,9.064426,0.305609,2.555083,85
'Entire home/apt',0,NA,525,353,0,-1,9.272491,0.156502,1.699,177
'Entire home/apt',0,NA,525,357,0,-1,9.483044,0.025462,3.389781,274
'Entire home/apt',3,0.14,1,73,1,323,7.486295,0.409348,9.751359,75
'Entire home/apt',10,0.48,5,269,6,57,10.363878,0.065624,1.710487,122
'Entire home/apt',0,NA,525,305,0,-1,12.183583,0.179096,4.841373,181
'Entire home/apt',98,5.57,12,151,65,54,12.238935,0.326358,5.089358,714
'Entire home/apt',61,2.76,2,121,34,52,12.363363,0.016732,4.9348,237
'Entire home/apt',66,3.03,1,156,45,45,8.092407,0.097618,6.809938,122
'Entire home/apt',53,2.44,1,89,30,59,7.29504,0.251952,4.456181,183
'Entire home/apt',13,0.61,1,8,3,360,9.61508,0.220246,7.747778,229
'Entire home/apt',4,0.26,1,191,2,81,11.835387,0.029377,4.377677,126
'Private room',21,1.35,1,317,14,79,9.124531,0.273724,7.822473,58
'Private room',28,1.31,6,172,16,38,8.046706,0.444769,3.148514,70
'Entire home/apt',5,0.26,12,65,3,128,10.593606,0.21218,2.005465,998
'Entire home/apt',116,5.28,19,293,70,44,8.883813,0.152272,0.505828,278
'Entire home/apt',110,5.19,19,293,68,38,8.735717,0.275352,0.606999,260
'Entire home/apt',10,0.46,19,290,8,67,8.87628,0.164518,0.484467,232
'Entire home/apt',252,11.49,19,295,117,41,8.873005,0.168403,0.484826,416
'Entire home/apt',106,4.85,19,297,63,39,8.833837,0.222543,0.482789,560
'Entire home/apt',65,2.96,19,294,39,37,8.826108,0.167823,0.598242,250
'Entire home/apt',146,6.64,19,295,77,40,8.887805,0.153108,0.476946,283
'Entire home/apt',0,NA,525,352,0,-1,9.272491,0.156502,1.699,179
'Entire home/apt',1,0.05,525,339,0,648,11.515887,0.377058,3.730758,199
'Entire home/apt',71,3.88,1,295,56,41,10.594598,0.194641,1.769151,97
'Entire home/apt',61,2.8,1,79,31,38,9.21132,0.553418,5.774195,306
'Entire home/apt',3,0.27,18,73,3,109,10.132849,0.156046,1.133008,95
'Entire home/apt',36,1.87,1,360,17,67,13.423287,0.468693,10.12272,165
'Private room',1,0.05,1,0,0,686,7.793729,0.450344,1.559641,48
'Entire home/apt',2,0.13,1,365,0,471,13.757509,0.308537,6.688996,77
'Private room',6,0.34,49,0,1,254,6.857655,0.274639,3.967733,31
'Entire home/apt',32,2.16,1,254,23,59,10.594503,0.025456,3.001592,493
'Entire home/apt',3,0.15,68,298,1,211,11.557969,0.368244,4.591856,114
'Entire home/apt',4,0.2,1,0,0,619,12.59688,0.335212,4.972797,56
'Entire home/apt',1,0.05,525,289,0,642,12.263454,0.378025,5.2521,216
'Entire home/apt',25,1.15,2,102,14,38,9.947241,0.283525,3.52517,158
'Entire home/apt',57,2.92,19,318,40,51,9.071989,0.481212,3.070522,285
'Entire home/apt',65,3.05,4,353,22,45,5.95995,0.418353,3.290872,110
'Entire home/apt',14,0.96,1,0,6,177,9.007098,0.159877,0.818459,225
'Private room',41,1.89,6,358,23,66,6.916547,1.36212,9.626043,105
'Entire home/apt',3,0.14,2,346,1,374,10.534756,0.1856,1.70734,3000
'Entire home/apt',58,2.79,1,126,41,38,8.991211,0.269341,8.389492,203
'Entire home/apt',0,NA,525,297,0,-1,9.914278,0.128053,1.150537,185
'Entire home/apt',0,NA,2,22,0,-1,10.561849,0.358948,5.639708,150
'Entire home/apt',38,1.88,1,88,7,367,9.522851,0.093962,0.678567,250
'Private room',9,0.42,12,126,4,43,8.155799,0.601229,3.968638,40
'Private room',9,0.59,12,78,6,58,8.22292,0.670292,4.001825,36
'Private room',17,0.81,12,77,12,79,8.186741,0.631343,4.017297,37
'Entire home/apt',1,0.06,525,269,0,521,10.649856,0.446569,1.582133,227
'Entire home/apt',0,NA,525,320,0,-1,10.649856,0.446569,1.582133,213
'Entire home/apt',0,NA,1,25,0,-1,13.163728,0.082361,9.676624,40
'Entire home/apt',0,NA,1,0,0,-1,7.844275,0.51352,4.574471,420
'Entire home/apt',66,3.1,1,89,40,51,10.694194,0.367683,1.772549,207
'Private room',10,0.53,12,76,7,79,9.489709,0.723633,8.870663,26
'Entire home/apt',61,2.95,1,245,30,56,9.856145,0.092694,1.330659,757
'Entire home/apt',1,0.05,1,0,0,653,13.26144,0.207079,5.932669,109
'Entire home/apt',25,1.21,1,14,15,45,12.450952,0.309666,9.653636,117
'Private room',6,0.29,4,166,3,263,7.711148,0.760757,8.010936,49
'Entire home/apt',3,0.63,1,278,3,67,10.023158,0.33495,3.665112,120
'Private room',167,7.94,10,53,113,48,12.344579,0.297229,4.737507,126
'Entire home/apt',41,1.93,3,316,7,48,8.212861,0.432182,2.886181,79
'Entire home/apt',46,2.21,2,136,26,46,12.289605,0.094301,4.933567,245
'Entire home/apt',13,6.61,6,323,13,41,12.083639,0.217001,5.120502,113
'Entire home/apt',68,3.32,2,113,36,48,9.328757,0.134703,0.539135,158
'Entire home/apt',30,1.42,2,296,16,79,9.752795,0.630868,7.102254,65
'Private room',74,3.85,8,161,40,45,10.456423,0.631378,1.241798,229
'Private room',81,3.91,8,335,43,40,10.010886,0.035526,0.981554,229
'Entire home/apt',101,5,2,329,70,38,10.27056,0.369294,5.246981,135
'Entire home/apt',28,1.72,5,321,21,52,9.251682,0.075425,1.780679,975
'Entire home/apt',0,NA,18,87,0,-1,10.205473,0.026841,1.254593,120
'Entire home/apt',48,2.5,1,224,32,37,8.961048,0.54179,3.039988,254
'Entire home/apt',1,0.05,1,0,0,639,9.844372,0.289702,3.303147,50
'Entire home/apt',0,NA,1,35,0,-1,8.295606,1.2883,5.489644,125
'Entire home/apt',0,NA,1,365,0,-1,8.323721,0.400064,1.651418,300
'Entire home/apt',10,0.48,4,0,7,46,10.147527,0.436994,1.927454,429
'Entire home/apt',2,0.13,525,285,1,67,9.084124,0.144904,0.947753,141
'Entire home/apt',0,NA,525,177,0,-1,9.084124,0.144904,0.947753,168
'Entire home/apt',0,NA,31,365,0,-1,11.544518,0.367492,4.647948,250
'Entire home/apt',11,0.74,1,365,7,115,11.062158,0.457309,3.867425,350
'Entire home/apt',34,1.72,6,41,24,52,8.662594,0.983677,3.942893,74
'Private room',75,3.62,8,164,43,45,9.941381,0.013718,0.922132,229
'Private room',39,1.88,8,163,30,83,10.010886,0.035526,0.981554,279
'Private room',21,1.09,8,169,13,45,10.010886,0.035526,0.981554,329
'Private room',2,0.12,1,365,1,394,5.784241,0.412669,3.507972,91
'Entire home/apt',25,1.21,1,161,22,38,10.518421,0.100629,2.999203,192
'Entire home/apt',35,1.69,2,351,24,52,9.476393,0.558869,5.677516,162
'Entire home/apt',62,3,6,0,35,50,13.213259,0.054998,9.295953,138
'Entire home/apt',36,1.92,57,313,24,66,11.264768,0.329994,4.022807,197
'Entire home/apt',38,1.82,57,266,26,51,9.191322,0.145022,6.252248,142
'Entire home/apt',0,NA,2,0,0,-1,9.059263,0.523414,3.675338,55
'Entire home/apt',70,3.43,2,103,32,60,9.414352,0.184117,0.640278,268
'Entire home/apt',44,2.13,1,161,25,38,7.822273,0.293035,7.062635,131
'Entire home/apt',4,0.21,3,89,3,79,8.975352,0.135915,0.835129,208
'Private room',11,2.8,2,85,11,44,6.729013,0.104029,2.536907,94
'Private room',11,0.53,12,0,6,44,9.368748,0.609125,8.832651,29
'Entire home/apt',54,3.23,1,340,36,43,9.08471,0.075467,8.079297,111
'Private room',0,NA,4,0,0,-1,13.469203,0.152931,7.215294,300
'Entire home/apt',64,3.21,1,176,39,36,12.379548,0.324157,9.530608,106
'Entire home/apt',28,1.83,1,333,16,52,9.535074,0.124121,4.117313,545
'Entire home/apt',1,0.23,525,286,1,166,8.944888,0.506227,2.357823,241
'Entire home/apt',49,3.11,1,334,39,38,12.548434,0.146669,9.433839,300
'Entire home/apt',55,3.5,1,243,37,43,12.153978,0.295679,4.50719,289
'Entire home/apt',0,NA,1,0,0,-1,10.039828,0.081763,0.967435,189
'Entire home/apt',3,0.15,1,0,0,443,6.822482,0.703671,3.089274,150
'Entire home/apt',49,2.41,1,316,30,44,8.710708,0.871697,3.730389,487
'Entire home/apt',99,4.89,1,240,48,45,11.267265,0.203053,7.016001,102
'Private room',179,8.85,10,60,132,49,12.344802,0.297354,4.737593,106
'Entire home/apt',9,0.45,3,57,2,199,10.121016,0.233332,2.259493,655
'Entire home/apt',13,0.7,2,365,1,380,9.60313,0.276194,7.975785,652
'Entire home/apt',45,2.52,1,148,29,37,7.601279,0.06169,4.214955,99
'Entire home/apt',42,2.26,11,0,26,58,12.422236,0.703892,4.519273,77
'Entire home/apt',44,3.59,1,74,43,37,10.370347,0.139107,5.848284,257
'Private room',54,3.27,5,257,35,45,8.401609,0.844239,3.309419,97
'Private room',45,2.22,5,255,18,115,8.39381,0.827521,3.291796,122
'Private room',66,3.27,5,258,34,38,8.454834,0.80248,3.270933,174
'Entire home/apt',7,0.35,1,119,0,429,7.856339,0.87013,7.223826,125
'Private room',9,0.45,1,0,0,576,7.503341,0.115966,3.343564,37
'Entire home/apt',12,0.63,1,353,3,42,7.868206,0.555895,2.650098,125
'Private room',34,1.76,5,261,18,56,8.426307,0.822831,3.289775,145
'Entire home/apt',26,1.42,1,355,7,52,5.727777,1.967564,10.866625,190
'Entire home/apt',61,3.13,1,312,28,59,8.956684,0.393764,2.635034,308
'Entire home/apt',14,0.77,6,42,1,80,8.798641,0.595043,2.435851,290
'Entire home/apt',9,0.51,12,51,7,76,10.592551,0.384377,1.540668,1013
'Entire home/apt',28,1.45,2,18,17,67,9.65669,0.242511,4.342972,150
'Entire home/apt',2,0.18,1,145,2,326,12.137251,0.253342,4.966218,210
