@relation 'chicago_listings - cleaned-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute number_of_reviews numeric
@attribute reviews_per_month string
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute days_since_last_review numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Entire home/apt',12,0.14,4,361,1,298,7.893868,0.306017,4.187848,163
'Entire home/apt',118,1.23,1,62,22,59,8.053185,0.122144,3.223456,157
'Shared room',103,1.07,17,14,5,94,12.129548,0.80267,10.064328,29
'Entire home/apt',96,1.01,1,178,2,135,10.667949,0.218993,1.851506,267
'Private room',34,0.38,1,105,2,271,12.510719,0.275805,5.753428,75
'Private room',19,0.2,1,156,3,72,10.967803,0.358438,7.053478,36
'Entire home/apt',81,0.85,1,116,15,72,12.45732,0.210768,6.189563,199
'Private room',11,0.23,1,365,3,318,8.089685,0.131875,1.560264,33
'Private room',128,1.36,1,82,7,78,9.244069,0.391014,7.946921,126
'Private room',111,1.63,1,114,21,50,13.44172,0.034966,6.233025,95
'Entire home/apt',306,3.22,5,210,21,121,9.843117,0.363597,3.074568,231
'Entire home/apt',159,1.7,1,193,1,307,8.698069,0.952861,4.003308,90
'Entire home/apt',51,0.57,1,74,6,206,13.225631,0.500851,5.674695,250
'Private room',26,0.27,1,353,15,45,9.30472,0.385245,2.316498,125
'Entire home/apt',16,0.23,1,75,11,115,9.66521,0.512364,7.888459,120
'Private room',100,1.1,2,258,27,57,9.736141,0.248541,4.921854,59
'Private room',66,0.71,2,304,13,53,9.843291,0.242355,4.988124,59
'Entire home/apt',46,0.53,1,104,6,100,10.481219,1.397771,11.125908,224
'Entire home/apt',65,0.74,1,0,0,947,12.195573,0.346824,4.519308,105
'Private room',57,0.63,3,355,15,52,9.532885,0.131885,3.311786,159
'Hotel room',76,0.83,11,321,11,52,12.952291,0.447413,6.740955,408
'Entire home/apt',128,1.4,1,346,25,45,9.276725,0.288627,3.158068,130
'Entire home/apt',56,0.6,1,332,37,45,12.299174,0.161105,4.797716,148
'Entire home/apt',27,0.3,11,165,0,493,12.941142,0.433695,6.737272,586
'Private room',32,0.34,11,195,3,157,12.952291,0.447413,6.740955,313
'Private room',270,2.94,1,308,17,52,10.313088,0.175269,2.641412,105
'Private room',233,2.53,3,4,30,52,8.986868,0.665966,3.800569,48
'Entire home/apt',12,0.13,2,0,0,541,11.278812,0.140762,7.190447,105
'Entire home/apt',29,0.36,1,345,2,53,7.587068,0.108289,4.79172,100
'Private room',7,0.08,1,0,0,1590,10.44846,0.277347,13.241495,50
'Entire home/apt',308,3.41,2,149,46,52,10.247982,0.314855,1.106102,250
'Private room',87,0.97,11,46,0,956,9.773927,0.131844,4.239962,36
'Private room',187,2.43,4,139,57,41,9.074518,0.216872,1.983499,84
