@relation 'chicago_listings - cleaned-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute neighbourhood_group {NA}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute number_of_reviews numeric
@attribute reviews_per_month string
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute days_since_last_review numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
NA,41.93089,-87.66946,'Entire home/apt',102,0.94,1,316,10,56,10.975363,0.888003,4.237569,454
NA,41.91984,-87.68962,'Private room',371,3.39,1,301,44,45,9.850716,0.252541,4.35461,86
NA,41.9459,-87.65461,'Private room',42,0.4,5,147,0,514,12.257286,0.099853,4.870376,270
NA,41.96909,-87.67407,'Entire home/apt',26,0.23,1,242,2,78,12.614936,0.136083,6.727537,175
NA,41.975155,-87.672268,'Entire home/apt',0,NA,1,0,0,-1,12.698466,0.564911,7.086892,114
NA,42.01653,-87.68788,'Shared room',172,1.55,17,176,8,61,12.129548,0.80267,10.064328,27
NA,41.91175,-87.63834,'Entire home/apt',80,0.73,9,144,23,48,10.680505,0.094435,2.368208,192
NA,41.91184,-87.63963,'Entire home/apt',16,0.16,9,40,0,1143,10.644653,0.09391,2.389127,279
NA,41.71554,-87.67197,'Private room',194,1.77,2,295,20,45,6.551516,0.277463,11.450521,56
NA,41.85592,-87.66249,'Private room',279,4.92,2,107,66,48,6.883096,0.386922,2.351162,70
NA,41.90532,-87.64761,'Entire home/apt',34,0.31,3,46,5,91,10.026094,0.380173,2.114988,236
NA,42.01177,-87.67758,'Entire home/apt',161,1.47,1,353,29,38,12.615561,0.157044,9.585079,119
NA,41.93455,-87.66141,'Private room',311,3.04,1,258,28,43,11.390614,0.456482,4.260301,64
NA,41.92817,-87.64282,'Private room',49,0.45,1,74,26,52,11.490484,0.577855,3.527211,157
NA,41.85922,-87.64592,'Entire home/apt',53,0.81,1,12,3,199,7.702434,0.090804,1.572179,103
NA,41.72706,-87.61164,'Private room',105,0.96,1,252,10,79,8.695295,0.549754,10.468822,55
NA,41.89322,-87.68572,'Entire home/apt',350,3.32,3,335,14,176,8.245616,0.309373,3.226555,80
NA,41.89678,-87.6971,'Entire home/apt',116,1.41,1,0,0,517,8.218679,0.707813,3.894079,86
NA,41.93512,-87.65749,'Private room',28,0.26,6,73,0,1114,11.520695,0.239938,4.214868,73
NA,41.89103,-87.66243,'Private room',107,0.99,6,336,12,44,8.755223,0.422281,1.992501,80
NA,41.89269,-87.62227,'Entire home/apt',7,0.07,68,365,0,2963,10.231279,0.304743,1.087428,153
NA,41.93396,-87.65897,'Entire home/apt',59,0.59,1,293,13,44,11.412918,0.327976,4.17044,242
NA,41.84801,-87.68127,'Private room',132,1.22,3,317,7,38,5.778595,0.477735,3.494026,96
NA,41.94747,-87.65417,'Entire home/apt',12,0.83,6,75,7,71,12.365289,0.024695,4.968035,379
NA,41.94842,-87.65307,'Entire home/apt',13,0.12,6,57,7,59,12.450429,0.081483,5.015671,693
NA,41.94774,-87.65421,'Entire home/apt',24,1.4,6,63,15,66,12.381132,0.036568,4.98657,879
NA,41.9475,-87.6542,'Entire home/apt',19,1.11,6,72,13,64,12.366444,0.026914,4.970468,922
NA,41.77738,-87.60041,'Private room',352,3.37,2,131,15,48,8.3201,0.351507,7.132538,80
NA,41.79989,-87.59432,'Entire home/apt',57,0.54,1,365,4,49,8.684387,0.405524,5.733662,115
NA,41.93264,-87.64311,'Entire home/apt',155,1.46,1,359,1,71,11.746846,0.548837,3.832787,239
